Minister,Date of Meeting ,Name of External Organisation,Purpose of Meeting  
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Jan-11,Thales,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Jan-11,BAE Systems,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Jan-11,Babcock,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Feb-11,Matra BAE Dynamics Alenia,Introductory meeting  
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Mar-11,QINETIQ,Introductory meeting
"Mrs Ursula Brennan, Permanent Secretary Ministry of Defence ",Mar-11,SERCO,Introductory meeting
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Mar-11,Rolls Royce,General discussion
"Professor Mark Welland FRS FREng, Chief Scientific Adviser, Ministry of Defence",Mar-11,Cohen Group,General discussion
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,KPMG,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,EADS,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,Thales,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,Charles Haddon-Cave QC,Airworthiness
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,LEK Consulting,Forward Programme Financial Planning
Mr Bernard Gray – Chief of Defence Materiel,Jan-11,Barrow Vision,General discussion
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,LEK Consulting,Forward Programme Financial Planning
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,Atomic Weapons Establishment, General discussion
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,MBDA, General discussion
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,Finmeccanica,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,LEK Consulting,Forward Programme Financial Planning
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,Bectel,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Feb-11,McKinsey Consultants,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,Gerry Grimstone,DE&S Reform
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,A|D|S,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,Royal College of Defence Studies,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,PTRM Consultants,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,LEK Consulting,Forward Programme Financial Planning
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,SERCO,Recruitment competition
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,Boeing UK,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,Ocean Strategy,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,EADS,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,QinetiQ,Introductory meeting
Mr Bernard Gray – Chief of Defence Materiel,Mar-11,LEK Consulting,Forward Programme Financial Planning

" Note: Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of Parliament, devolved or foreign governments.",,,
