EXAMPLES OF GPC EXPENDITURE,

Merchant Category Group/Code narrative,Examples of Expenditure

"Bars, restaurants and nightclubs",£˜˜˜˜˜˜˜˜ Small hotels provided by our Hotel provider are classed under this heading 
,"£˜˜˜˜˜˜˜˜ Meals/subsistence while on detached duty, military operations and training exercises "
Fireplace,£˜˜˜˜˜˜˜˜ Repairs to ovens in kitchens
Gifts/cards/novelty shops and video amusement game supply,£˜˜˜˜˜˜˜˜ Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.
,"£˜˜˜˜˜˜˜˜ Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan"
"Hobby, Toys and games",£˜˜˜˜˜˜˜˜ For schools educating Service children overseas
Florists,£˜˜˜˜˜˜˜˜ Wreaths for Military personnel killed while in Service 
,"£˜˜˜˜˜˜˜˜ Upkeep of the Defence estate, particularly military establishments"
Music shops and Bands/Orchestras,£˜˜˜˜˜˜˜˜ Musical instruments purchased for the various military bands and the Royal School of Music
Dry cleaning,"£˜˜˜˜˜˜˜˜ The procurement, rental and maintenance of washing machines  "
,£˜˜˜˜˜˜˜˜ The provision of laundry facilities for Military personnel
Jewellery,£˜˜˜˜˜˜˜˜ Maintenance of clocking-in machines at MOD establishments
,£˜˜˜˜˜˜˜˜ New location signs
,£˜˜˜˜˜˜˜˜ The provision of dog tags for military personnel 
,£˜˜˜˜˜˜˜˜ Warrant card holders for the MOD Police
,£˜˜˜˜˜˜˜˜ Kilt pins for school uniforms
Gym equipment,£˜˜˜˜˜˜˜˜ The purchase of physical training equipment for military gyms and schools
Arts and Craft Shops,£˜˜˜˜˜˜˜˜ Insignia for military band instruments
,£˜˜˜˜˜˜˜˜ Mock up models for military visits to schools 
,£˜˜˜˜˜˜˜˜ Military recruitment banners
Cinema trips,£˜˜˜˜˜˜˜˜ Hire of venues by the Army Presentation team 
,£˜˜˜˜˜˜˜˜ Leisure activity as part of the training for new junior soldiers
Tourist attractions and exhibits,£˜˜˜˜˜˜˜˜ Acquaint visits for potential recruits to the Royal Navy
,£˜˜˜˜˜˜˜˜ Costs related to the annual Navy Day
,£˜˜˜˜˜˜˜˜ Adventure training courses including hire of facilities and instruction
Cosmetics,£˜˜˜˜˜˜˜˜ Demineralised water for radar systems
,£˜˜˜˜˜˜˜˜ Air fresheners for waiting areas and toilets in Military Careers Offices
Leisure Activities/Recreation services,"£˜˜˜˜˜˜˜˜ Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams"
,£˜˜˜˜˜˜˜˜ Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams
,£˜˜˜˜˜˜˜˜ Coach hire for pre deployment training
,£˜˜˜˜˜˜˜˜ Diving courses for Army divers
Theatrical Producers,£˜˜˜˜˜˜˜˜ Ferry bookings
,£˜˜˜˜˜˜˜˜ Venues for MOD Recruiting Teams and Presentation Teams
,£˜˜˜˜˜˜˜˜ Army Officer training as part of cultural awareness
Bowling Alleys,£˜˜˜˜˜˜˜˜ Leisure activities/team building for junior soldiers as part of their Army training programme
Health and Beauty Spas,£˜˜˜˜˜˜˜˜ Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category
Shoe Stores,£˜˜˜˜˜˜˜˜ Specialist boots on health grounds for Military staff
Pet stores/Food & Supply,£˜˜˜˜˜˜˜˜ Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs
Books and Periodicals,"£˜˜˜˜˜˜˜˜ Books and publications for our libraries and schools that are not available on contract e.g. second hand books, "
Beauty and Barber shops,£˜˜˜˜˜˜˜˜ Specialist Medical and trauma training
Speciality Cleaning/Polishing,"£˜˜˜˜˜˜˜˜ Industrial leak and spill management, industrial safety and plant maintenance products"
Tailor/Seamstress/Alters,"£˜˜˜˜˜˜˜˜ Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade"
,£˜˜˜˜˜˜˜˜ Mounting  of military medals on uniforms
Children/Infants wear stores,£˜˜˜˜˜˜˜˜ Some retailers in this category also supply adult clothing/products 
,£˜˜˜˜˜˜˜˜ Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows
,£˜˜˜˜˜˜˜˜ Equipment for battle field tests
,£˜˜˜˜˜˜˜˜ Items for our schools and sponsorship of sports clothing for local schools with military logos
Mens/Womens Clothing Stores,£˜˜˜˜˜˜˜˜ Specialist Outdoor Clothing e.g. adventure training clothing
,£˜˜˜˜˜˜˜˜ Purchase of items of uniform from specialist Suppliers
Advertising Services,"£˜˜˜˜˜˜˜˜ Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   "
,£˜˜˜˜˜˜˜˜ Sign making Services
,£˜˜˜˜˜˜˜˜ Exhibition displays
Commercial Photo/Art/Graph,£˜˜˜˜˜˜˜˜ Safety Sign making Services
Management/Consult/Public Relations Services,£˜˜˜˜˜˜˜˜ Specialist training providers
,£˜˜˜˜˜˜˜˜ Payments to Professional Bodies
Civic/Social/Fraternal Associations,£˜˜˜˜˜˜˜˜ Payments to Professional Bodies
,£˜˜˜˜˜˜˜˜ Payments to Local Councils
Statutory Bodies - Fines,£˜˜˜˜˜˜˜˜ Payments to the Police for advanced driving courses
Cable/Pay TV Services,£˜˜˜˜˜˜   Sky installations for MOD establishments and ships
Boat Dealers,£˜˜˜˜˜˜   Repairs to ships and boats
,£˜˜˜˜˜˜˜˜ Purchase of specialist paint for ships,,,,
Dentists/Orthodontists,£˜˜˜˜˜˜˜  Dental equipment for Military staff dental check ups,,,,
General Retail ? Women?s Access/Speciality,£˜˜˜˜˜˜˜  Waterproof Clothing and products for Adventure training ,,,,
,£˜˜˜˜˜˜˜˜ Waterproof Clothing for Search and Rescue teams ,,,,
Timeshare,£˜˜˜˜˜˜˜˜ Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,,
Pkg Stores/Beer/Wine/Liquor,£˜˜˜˜˜˜˜˜ The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,,


MoD GPC TRANSPARENCY DATA FOR SEPTEMBER 2012,,,,,

UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC40037,11-Sep-12,Auto Rental                        ,Auto Rental                        ,"?4,462.50",40037
MODGPC40038,11-Sep-12,Auto Rental                        ,Auto Rental                        ,?672.38,40038
MODGPC40039,03-Sep-12,Auto Rental                        ,Auto Rental                        ,"?1,300.00",40039
MODGPC40040,12-Sep-12,Auto Rental                        ,Auto Rental                        ,"?2,136.90",40040
MODGPC40041,06-Sep-12,Auto Rental                        ,Auto Rental                        ,"?2,892.42",40041
MODGPC40042,07-Sep-12,Automotive Fuel                    , SERVICE STATIONS,"?2,225.50",40042
MODGPC40043,10-Sep-12,Books and Periodicals              , BOOK STORES,?599.95,40043
MODGPC40044,03-Sep-12,Books and Periodicals              , BOOK STORES,"?1,171.92",40044
MODGPC40045,10-Sep-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,?897.01,40045
MODGPC40046,07-Sep-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,?861.73,40046
MODGPC40047,03-Sep-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"?1,885.25",40047
MODGPC40048,10-Sep-12,Books and Periodicals              , BOOK STORES,?628.80,40048
MODGPC40049,04-Sep-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,?519.80,40049
MODGPC40050,11-Sep-12,Books and Periodicals              , BOOK STORES,?966.60,40050
MODGPC40051,13-Sep-12,Books and Periodicals              , BOOK STORES,?559.33,40051
MODGPC40052,11-Sep-12,Books and Periodicals              , BOOK STORES,?659.00,40052
MODGPC40053,06-Sep-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,"?5,000.00",40053
MODGPC40054,06-Sep-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,"?4,873.50",40054
MODGPC40055,12-Sep-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,?598.80,40055
MODGPC40056,06-Sep-12,Books and Periodicals              , BOOK STORES,"?1,691.93",40056
MODGPC40057,06-Sep-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,?950.60,40057
MODGPC40058,04-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,?672.16,40058
MODGPC40059,10-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,?737.77,40059
MODGPC40060,05-Sep-12,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"?3,744.00",40060
MODGPC40061,03-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"?2,620.80",40061
MODGPC40062,12-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?1,078.42",40062
MODGPC40063,10-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?2,144.26",40063
MODGPC40064,06-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"?1,373.20",40064
MODGPC40065,11-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"?1,736.71",40065
MODGPC40066,12-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"?3,696.72",40066
MODGPC40067,12-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?2,232.63",40067
MODGPC40068,10-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?1,129.72",40068
MODGPC40069,11-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,?528.00,40069
MODGPC40070,03-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?2,175.71",40070
MODGPC40071,10-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?1,682.39",40071
MODGPC40072,07-Sep-12,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,"?1,134.14",40072
MODGPC40073,10-Sep-12,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,?709.92,40073
MODGPC40074,06-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?4,339.56",40074
MODGPC40075,12-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,?697.48,40075
MODGPC40076,13-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?2,083.37",40076
MODGPC40077,11-Sep-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,?784.08,40077
MODGPC40078,12-Sep-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"?1,298.92",40078
