"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)",,,
Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Apr-12, Conservative Home (Tim Montgomerie),To discuss housing policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-12,"Brentwood BC, Wokingham DC, Waverley BC, Wandsworth BC, Stroud DC, St. Albans DC, South Gloucestershire Council, Royal Borough of Kensington and Chelsea, North Hertfordshire DC, Kettering BC, Dover DC, Coventry CC, Basildon DC, South Cambridgeshire DC, South Derbyshire DC, North Tyneside DC, Waverley DC, Sevenoaks DC, Norwich City Council, London Borough of Lewisham, Westminster City Council, London Borough of Newham, Mid-Suffolk District Council, Uttlesford District Council, London Borough of Lambeth, London Borough of Croydon, Gravesham DC, Tendring DC, Wychavon DC, Poole Council, Peterborough City Council, Cambridge City Council, London Borough of Enfield, London Borough of Hammersmith and Fulham, Islington Council, Bournemouth Borough Council, Cheshire East Council",To discuss home ownership
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-12,Homeless Link,Introductory meeting
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",May-12,The Standard  (Sarah Sands),General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Shelter,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,"Portas Pilot winners (Bedford, Bedminster, Croydon, Dartford, Liskeard, Margate, Market Rasen, Nelson, Newbiggin by the Sea, Stockport, Stockton on Tees, Wolverhampton, ",Meeting with Portas Pilot winners
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",,,
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Chartered Institute of Housing,General discussion
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Sir Terence Conran and Paul Zara (Conran Holdings),To discuss housing policy
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Gosport constituents ,To discuss social housing
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,"University of Chicago, Booth School of Business",Introductory chat
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,St Mungo’s,Parliamentary reception
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Home Finance Forum,To discuss housing finance
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jun-12,Kindred Communications Agency,Housing discussion
