Department Family,Entity,Payment Date,Expense Type,Budget Holder,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,13-Jun-11,Information Systems Maintenance,17155,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1019107," 61,687.50 ",
FCO,FCO,13-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1019107," 12,337.50 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 24,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 16,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 1,300.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 180.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 140.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 90.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 160.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 700.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 1,466.00 ",
FCO,FCO,30-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1020576," 8,775.20 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,"-24,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,"-16,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,"-1,300.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,-180.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,-140.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576,-90.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 24,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 16,000.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576," 1,300.00 ",
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 180.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 140.00 ,
FCO,FCO,30-Jun-11,Training Course: Fees,18819,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1020576, 90.00 ,
FCO,FCO,30-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1020576,-28.00 ,
FCO,FCO,30-Jun-11,Programme Spend (Oracle Projects Control Account),401009,DG EUROPE AND GLOBALISATION,BALKAN INVESTIGATIVE REPORTING NETWORK (BIRN),2009392," 33,228.00 ",
FCO,FCO,14-Jun-11,Nursery Childcare Subsidy,18702,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1019208," 41,246.00 ",
FCO,FCO,15-Jun-11,Recharge Suspense Account (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008764," 37,425.15 ",
FCO,FCO,22-Jun-11,Programme Spend (Oracle Projects Control Account),16357,DG CENTRAL GROUP,BRITISH COUNCIL,1019913," 793,131.00 ",
FCO,FCO,20-Jun-11,Recharge Suspense Account (Oracle PA Control Account),0,NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,2005842," 25,051.24 ",
FCO,FCO,20-Jun-11,General Information Services,17352,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1019675," 26,854.00 ",
FCO,FCO,20-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1019675," 5,370.80 ",
FCO,FCO,15-Jun-11,IT/IS Consultancy,11361,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1019412," 69,563.30 ",
FCO,FCO,15-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1019412," 13,912.66 ",
FCO,FCO,20-Jun-11,Corporate Strategy Consultancy,14613,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1019678," 32,274.00 ",
FCO,FCO,20-Jun-11,Corporate Strategy Consultancy,14613,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1019678," 4,780.00 ",
FCO,FCO,20-Jun-11,Corporate Strategy Consultancy,14613,DG CHANGE & DELIVERY,CAPGEMINI  UK PLC,1019678, 462.00 ,
FCO,FCO,20-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1019678," 7,503.20 ",
FCO,FCO,24-Jun-11,Programme Spend (Oracle Projects Control Account),3051,DG EUROPE AND GLOBALISATION,CENTAR ZA NOVU POLITIKU,2009344," 27,000.00 ",
FCO,FCO,14-Jun-11,Project Works>10K,14652,DG CHANGE & DELIVERY,COFELY LTD - ELYO SERVICES LTD,1019225," 26,135.00 ",
FCO,FCO,29-Jun-11,Selling into Wider Markets,13057,DG CHANGE & DELIVERY,COTTIMORE DESIGN CONSULTANCY,1020470," 19,900.00 ",
FCO,FCO,29-Jun-11,Selling into Wider Markets,13057,DG CHANGE & DELIVERY,COTTIMORE DESIGN CONSULTANCY,1020470," 1,927.00 ",
FCO,FCO,29-Jun-11,Selling into Wider Markets,13057,DG CHANGE & DELIVERY,COTTIMORE DESIGN CONSULTANCY,1020470," 3,980.00 ",
FCO,FCO,29-Jun-11,Selling into Wider Markets,13057,DG CHANGE & DELIVERY,COTTIMORE DESIGN CONSULTANCY,1020470, 385.40 ,
FCO,FCO,13-Jun-11,Programme Spend (Oracle Projects Control Account),501099,DG POLITICAL,CTA ECONOMIC AND EXPORT ANALYSTS,1019119," 34,098.85 ",
FCO,FCO,22-Jun-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1019930," 35,850.00 ",
FCO,FCO,22-Jun-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1019930," 1,075.50 ",
FCO,FCO,22-Jun-11,Nursery Childcare Subsidy,18705,DG CHANGE & DELIVERY,EDENRED,1019930, 215.10 ,
FCO,FCO,21-Jun-11,Telephone/Telex Usage,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1019793," 47,162.83 ",
FCO,FCO,21-Jun-11,Telephone/Telex Usage,11316,DG CENTRAL GROUP,GLOBAL CROSSING,1019793," 9,432.57 ",
FCO,FCO,13-Jun-11,Programme Spend (Oracle Projects Control Account),451001,DG POLITICAL,GLOBAL PARTNERS & ASSOCIATES LTD,1019129," 71,014.99 ",
FCO,FCO,20-Jun-11,Programme Spend (Oracle Projects Control Account),501099,DG POLITICAL,GO GROUP NLE,200003114," 37,607.71 ",
FCO,FCO,08-Jun-11,Commercial Partners (Visa),16554,UK VISAS DIRECTORATE,GUANGDONG CTS VISA CONSULTING SERVICE CO. LTD,2091706," 69,945.57 ",
FCO,FCO,02-Jun-11,Information Systems Maintenance,11303,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1018350," 51,285.72 ",
FCO,FCO,02-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1018350," 10,257.14 ",
FCO,FCO,29-Jun-11,IT/IS Consultancy,11361,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1020498," 35,000.00 ",
FCO,FCO,29-Jun-11,VAT (Input) (Oracle Sub-Ledger Control Account),0,NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1020498," 7,000.00 ",
FCO,FCO,15-Jun-11,P.A.Y.E Income Tax (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000358," 3,374,245.73 ",
FCO,FCO,15-Jun-11,National Insurance (NI) (Oracle PAY Control Account),0,NON CASH & UNALLOCATED COSTS,HM REVENUE AND CUSTOMS,4000358," 2,041,288.18 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,14201,DG FINANCE,HOME OFFICE,4000298, 67.91 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 3,784.15 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298, 530.26 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 1,487.38 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298, 500.46 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 1,383.36 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 14,246.92 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 6,595.41 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 26,312.04 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298, 100.16 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 78,655.04 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298,"-3,594.96 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298,-600.00 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 2,019.14 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 3,818.17 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 1,261.54 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298,"-21,984.98 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 168,924.21 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 1,701.77 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298, 612.69 ,
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 3,857.10 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 1,894.26 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 4,301.54 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298,"-1,029.23 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298,"-1,642.21 ",
FCO,FCO,01-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000298," 3,288.81 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414, 668.76 ,
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414, 85.61 ,
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 1,988.74 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 1,683.61 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 5,528.01 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414, 861.82 ,
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 3,506.66 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414, 921.00 ,
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 3,712.18 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 4,168.98 ",
FCO,FCO,29-Jun-11,Home Office Visa Fees: Post Collection-Payment In UK,17052,DG CHANGE & DELIVERY,HOME OFFICE,4000414," 1,643.38 ",
