ALB,Supplier,Net Amount £
Tenant Services Authority,Steria Services Limited,"934,911.28"
Tenant Services Authority,BDO LLP,"868,287.50"
Tenant Services Authority,Pricewaterhousecoopers Llp,"180,000.00"
Tenant Services Authority,Trowers & Hamlins,"167,977.03"
Tenant Services Authority,Barkers Group Limited,"120,966.60"
Tenant Services Authority,Tribal Consulting Ltd,"115,146.36"
Tenant Services Authority,Kpmg Llp Fees Account,"99,785.56"
Tenant Services Authority,Grant Thornton UK LLP,"85,624.63"
Tenant Services Authority,Hewitt Associates Limited,"70,788.00"
Tenant Services Authority,Dsgi Business,"70,500.12"
Tenant Services Authority,British Telecommunications Plc,"67,844.42"
Tenant Services Authority,Sopra Group Ltd,"53,423.34"
Tenant Services Authority,PKF (UK) LLP,"41,154.60"
Tenant Services Authority,Odgers Ray & Berndtson,"40,988.74"
Tenant Services Authority,Forvus,"39,820.00"
Tenant Services Authority,First Colour Limited,"35,829.18"
Tenant Services Authority,Ocean Media Group Ltd,"33,611.81"
Tenant Services Authority,MWB Business Exchange-Oxford St,"33,056.25"
Tenant Services Authority,Deloitte & Touche LLP,"32,250.00"
Tenant Services Authority,Box Uk,"31,776.54"
Tenant Services Authority,Cable & Wireless,"30,781.59"
Tenant Services Authority,APCO Worldwide Ltd,"29,925.00"
Tenant Services Authority,National Housing Federation,"28,098.16"
Tenant Services Authority,Hilton Birmingham Metropole,"27,831.01"
Tenant Services Authority,Allan Smyth Audio Visual,"26,500.00"
Tenant Services Authority,Vodafone Ltd,"24,874.41"
Tenant Services Authority,Indepen,"24,100.00"
Tenant Services Authority,Quadrant Search & Selection,"24,000.00"
Tenant Services Authority,The National Exhibition Centre Limited,"22,936.65"
Tenant Services Authority,Campbell Tickell Ltd,"21,235.60"
Tenant Services Authority,Delaware North Companies (UK),"20,817.91"
Tenant Services Authority,MWL Print Group Ltd,"20,192.00"
Tenant Services Authority,British Urban Regeneration Assoc.,"17,123.00"
Tenant Services Authority,Banner Business Supplies,"15,883.11"
Tenant Services Authority,Pitney Bowes Ltd,"15,880.10"
Tenant Services Authority,Neil Litherland Consulting,"14,668.40"
Tenant Services Authority,Aquent Inc,"14,205.00"
Tenant Services Authority,Tenant Participation Advisory Service,"13,600.00"
Tenant Services Authority,Field Fisher Waterhouse,"12,931.51"
Tenant Services Authority,Aston Villa Football Club Limited,"12,227.32"
Tenant Services Authority,Manchester City Football Club,"11,641.26"
Tenant Services Authority,Career Counselling Services Ltd,"11,621.25"
Tenant Services Authority,Hyatt Regency Birmingham,"11,451.96"
Tenant Services Authority,Ashridge Strategic Management Centre,"10,900.00"
Tenant Services Authority,De Voil Consulting Ltd,"10,585.53"
Tenant Services Authority,Chartered Institute Of Housing,"10,283.35"
Tenant Services Authority,Taroe,"10,000.00"
Tenant Services Authority,Devonshires,"9,743.40"
Tenant Services Authority,Sage (UK) Ltd,"9,386.00"
Tenant Services Authority,Michael Page Uk Ltd,"9,300.00"
Tenant Services Authority,Foremarke Exhibitions Ltd,"8,659.00"
Tenant Services Authority,Nicholas Day Associates,"8,510.00"
Tenant Services Authority,Idox Information Services Ltd,"8,050.00"
Tenant Services Authority,Cision Uk Limited,"8,049.70"
Tenant Services Authority,Nigel Barrington,"7,763.00"
Tenant Services Authority,Hargreaves Risk and Strategy,"7,759.50"
Tenant Services Authority,Pinsent Masons,"7,719.00"
Tenant Services Authority,Copyright Licensing Agency Ltd,"7,670.38"
Tenant Services Authority,VeriSign SARL,"7,524.00"
