Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Nick Hillman,27-Apr-11,Sutton Trust,Lunch
Nick Hillman,28-Apr-11,Politeia,Lunch
Nick Hillman,13-May-11,TLG Communications,Lunch
Nick Hillman,20-May-11,EDGE,Lunch
Nick Hillman,27-May-11,The Observer,Lunch
Nick Hillman,3-Jun-11,Conservative Friends of Science,Lunch
Nick Hillman,17-Jun-11,New Schools Network,Lunch
Giles Wilkes,28-Jun-11,National Grid,Wimbledon tickets
