Main Department,Organisation,Annual Paybill (delegated grades for financial year 2010/11),Headcount (delegated grades as at 31 March 2011),Cost of in-year NCPRP for delegated grades only (£),Number of staff in delegated grades receiving an in-year NCPRP,In-Year - Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount,In-Year - Value of maximum in-year NCPRP paid to a member of staff in the delegated grades only,In-Year - Median NCPRP for those receiving an in-year NCPRP for delegated grades only,End of Year - Cost of end of year NCPRP for delegated grades only (£s),End of Year - Number of staff in delegated grades receiving an end of year NCPRP,End of Year - Delegated grade staff receiving an end of year NCPRP as a % of headcount,End of Year - Value of maximum end of year NCPRP paid to a member of staff in the delegated grades only,End of Year - Median NCPRP for those receiving an end of year NCPRP for delegated grades only,Total Overall cost of NCPRP (in-year and end of year) for delegated grades only,Total Cost of NCPRP as a % of paybill for delegated grades only (%),SCS on standard contracts (end of year NCPRP) - Annual SCS paybill for those SCS on standard contracts (for financial year 2010/11),SCS on standard contracts (end of year NCPRP) - Number of SCS on standard contracts - Headcount (as at 31 March 2011),SCS on standard contracts (end of year NCPRP) - Cost of NCPRP for SCS standard contract staff (£s),SCS on standard contracts (end of year NCPRP) - Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2010/11 (%),SCS on standard contracts (end of year NCPRP) - Number of SCS standard contract staff receiving a NCPRP,SCS on standard contracts (end of year NCPRP) - SCS standard contract staff receiving a NCPRP as a % of SCS standard contract staff headcount,SCS on standard contracts (end of year NCPRP) - Value of maximum NCPRP paid to a member of SCS standard contract staff in 2010/11,SCS on standard contracts (end of year NCPRP) - Median NCPRP for those SCS standard contract staff receiving a NCPRP,Information for SCS on non-standard contracts - Number of SCS on non-standard contarcts - headcount (as at 31 March 2011),Information for SCS on non-standard contracts Value of maximum MCPRP paid to a member of SCS non-standard contract staff,Comments
Foreign & Commonwealth Office,Foreign & Commonwealth Office,176163893,4689,494453,1119,0.238643634,2000,300,4040119,2996,0.638942205,2990,1320,4534572,0.025740644,41424457.97,383,792875,0.019140263,80,0.208877285,13500,9000,3,13500,
Foreign & Commonwealth Office,FCO Services,42842693,884,121003,359,0.406108597,2000,248,1019940,746,0.843891403,3500,1200,1140943,0.026630982,,,,,,,,,,,
