Minister,Date,Name of External Organisation*,Purpose of meeting
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-11,Newcastle City Council,To discuss Local Govt Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-11,Redbridge,To discuss Local Govt Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-11,Southwark,To discuss Local Govt Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Jan-11,Waltham Forest,To discuss Local Govt Finance Settlement
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-11,Stewart Jackson MP  and YMCA,"To discuss Supported People Funding; Y Cube Housing schemes, Supported Housing schemes"
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-11,Self-Build Housing Working Group Roundtable,To address the key barriers to the growth of self-build housing
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-11,Social Tenants,To discuss Rewarding Social Tenants
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-11,Policy Exchange,To discuss general housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Feb-11,First Time Buyers Summit,To discuss support for First Time Buyers
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,Homeless Link,To discuss homelessness issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,Crisis,To discuss housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,Barclays,To discuss homelessness
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,Lord Tom King  Community Self Build Agency,To discuss community self build project
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,Shelter,To discuss general housing issues
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",Mar-11,RedNomad,To discuss Website changes
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Nottinghamshire Council,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,West Somerset Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,South Lakeland District Council ,To discuss Local Govt Finance
"Andrew Stunell MP, Parliamentary Under-Secretary of State",Jan-11,Nuneaton & Bedworth Council ,To discuss Local Govt Finance
