Minister,Date(s) of trip,Destination ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",,"Total cost including travel, and accommodation of Minister only"
Attorney General Dominic Grieve QC MP,12 - 17 July 11,Australia,"To attend the
Commonwealth
Law Ministers
Meeting and
the Attorney
General’s
Quintet.",,,,"£5,112"
Attorney General Dominic Grieve QC MP,18 - 20 July 11,New Zealand,"Visiting the
Attorney
General of New
Zealand",,,,£666
,,,,,,,
,,,,,,,

,,,,,,,
