Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Ministry of Defence,Ministry of Defence,01/04/2010,Medical treatment & stores and welfare services.,Central TLB,St Julians School,ESG4,26594.60
Ministry of Defence,Ministry of Defence,01/04/2010,Payment of utilities,Central TLB,Kalor Gas,ESG5,63327.00
Ministry of Defence,United Kingdom Hydrographic Office,01/04/2010,Purchased services,Admiralty Nautical Products,CT-Live!,5100076844,86098.00
Ministry of Defence,RAF Museum,01/04/2010,Rates Cosford Site,RAF Museum,Shropshire Council,Cosford Rates,87768.00
Ministry of Defence,Ministry of Defence,01/04/2010,Rent and rates,Central TLB,Gabriele Di Nardo,ESG6,49698.00
Ministry of Defence,Ministry of Defence,01/04/2010,Rent and rates,Central TLB,Immobiliare Living House,ESG7,35135.00
Ministry of Defence,RAF Museum,01/04/2010,Rent and Rates Stafford,RAF Museum,Defence Estates (MoD),1056590,49122.79
Ministry of Defence,RAF Museum,01/04/2010,Rent Cosford,RAF Museum,Defence Estates (MoD),1056603,82875.00
Ministry of Defence,Ministry of Defence,07/04/2010,"Adminstration, claims, compensation and awards",Central TLB,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,614871,12994.39
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,614872,4663.20
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Air Command,QINETIQ LIMITED,615172,8149.00
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Air Command,SERCO LIMITED,615237,446948.65
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Defence Equipment & Support,ULTRA ELECTRONICS LIMITED,615360,22237.88
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Air Command,XMA LTD,615426,434.81
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Central TLB,XMA LTD,615426,212.74
Ministry of Defence,Ministry of Defence,07/04/2010,Design services and minor equipment purchases,Defence Equipment & Support,YOUNGMAN GROUP LTD,615430,240676.40
