Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",5,4,11,10.83,33,32.61,17,16.1,1,1,0,0,67,65,0,0,0,0,0,0,0,0,0,0,67,65,"209,722.16",0,,41.84,"41,187.34","17,728.77","268,680.11",317.69,"3,208.00","3,525.69","272,205.80",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",262,237,413,394,1050,1004,425,405,59,57,221,221,"2,430","2,318",11,11,0,0,5,5,2,2,18,18,"2,448","2,336","6,495,358.97","271,955.67","150,490.43","24,540.39","1,800,520.69","605,830.59","9,348,696.74","194,942.19","520,488.60","715,430.79","10,064,127.53",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,69.7,.,70,.,.,.,.,.,.,.,.,.,.,.,70,,,,,,,.,,,.,.,.
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,4,3.5,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,"16,456.21",,,0,"3,187.18","1,297.08","20,940.47",,,0,"20,940.47",
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,37.1,.,37,.,.,.,.,.,.,.,.,.,.,.,37,,,,,,,.,,,.,.,.
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",134,128,253,243,927,911,330,313,36,33,27,27,"1,707","1,655",6,6,0,0,3,3,0,0,9,9,"1,716","1,664","4,840,062.00","165,695.00","3,218.00","143,299.00","1,274,437.00","420,378.00","6,847,089.00","75,977.00",,"75,977.00","6,923,066.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",107,104.1891892,402,389.4540541,538,525.7918919,160,159.1648649,47,46.22432432,3,2.513513514,"1,257","1,227",14,14,0,0,124,124,3,3,141,141,"1,398","1,368","4,270,592.69","108,149.26",0,10.15,"865,211.39","420,708.55","5,664,672.04","1,400,953.35","67,392.00","1,468,345.35","7,133,017.39",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,19.8,.,20,.,.,.,.,.,.,.,.,.,.,.,20,,,,,,,.,,,.,.,.
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,36.4,.,36,.,.,.,.,.,.,.,.,.,.,.,36,,,,,,,.,,,.,.,.
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1478,1379,618,591,94,91.6,9,9,8,8,8,1.06,"2,215","2,080",60,60,2,2,74,74,0,0,136,136,"2,351","2,216","3,621,529.55","91,573.30","22,386.57","125,136.52","291,148.92","293,316.39","4,445,091.25","436,056.00",,"436,056.00","4,881,147.25",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,37,37,13,13,67,67,5,5,0,0,122,122,24,24,60,60,0,0,0,0,84,84,206,206,"441,511.00","82,094.12",,,"109,180.36","52,345.92","685,131.40","345,454.09",,"345,454.09","1,030,585.49",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",16,15,13,12,48,48,14,14,6,6,0,0,97,95,0,0,0,0,0,0,0,0,0,0,97,95,"323,886.00",,,,"63,393.00","28,243.00","415,522.00",,,0,"415,522.00",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",235,205.14,201,191.34,230,223.91,226,212.56,26,26,0,0,918,859,16,16,0,0,23,23,0,0,39,39,957,898,"2,052,980.00","80,435.00","13,123.00","137,398.00","434,784.00","231,475.00","2,950,195.00","469,588.00",,"469,588.00","3,419,783.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,9,8.5,13,12.6,4,4,0,0,32,31,0,0,0,0,1,1,0,0,1,1,33,32,"124,091.00",,,,"22,678.50","10,594.00","157,363.50","4,500.00",,"4,500.00","161,863.50","* Salaries include all TUPE'd staff costs for December, but does not include reconciliation of costs from former employers paid in lieu of TUPE which will appear in the January payroll costs
"
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",65,60.56,64,61.39,284,279.64,103,101.79,10,9.6,14,14,540,527,4,4,0,0,340,340,0,0,344,344,884,871,"1,743,527.00",0,"-45,700.00","55,102.00","272,511.00","140,223.00","2,165,663.00","1,467,013.00",0,"1,467,013.00","3,632,676.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year. The March 2012 value is -ve due to a revision of the anticipated performance payments in 2012.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,52.6,0,53,.,.,.,.,.,.,.,.,.,.,.,53,,,,,,,.,,,.,.,.
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,32.92,505,492.33,415,403.58,109,106.75,6,6,3,0.73,"1,077","1,042",49,49,2,2,85,85,0,0,136,136,"1,213","1,178","2,821,723.42","67,906.82","38,200.00","45,112.51","548,832.50","250,909.12","3,772,684.37","1,335,236.13",0,"1,335,236.13","5,107,920.50",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",0,0,0,0,0,0,0,0,4,3.1,1908,1834.3,"1,912","1,837",15,15,17,17,38,38,0,0,70,70,"1,982","1,907","4,817,599.00","354,117.00","71,295.00","158,985.00","1,003,204.00","427,154.00","6,832,354.00","552,610.00","6,217.00","558,827.00","7,391,181.00",
