Department ,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/03/2011,Hire of Reprographic Equipment,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE DANWOOD GROUP LTD,1021494,6.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Reprographic Equipment,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE DANWOOD GROUP LTD,1021553,7.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,BROOK STREET (UK) LTD,1021586,1031.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1021820,40
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1022260,40
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/03/2011,Taxis,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GREATER LONDON HIRE LTD,1022275,108.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,BROOK STREET (UK) LTD,1022411,1053.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1022732,60
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1022969,40
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1023057,338.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1023058,19.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1023424,80
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,BROOK STREET (UK) LTD,1023451,1042.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2011,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1023581,62.12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021673,527.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/03/2011,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1021673,21.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/03/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADDISON LEE plc,1022030,175.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/03/2011,Hotels,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,NORTHERN IRELAND OFFICE,1022948,120
