Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,1023797,14694
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1024747,121.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Business & Skills Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1024926,35322.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2011,Sponsorship Support,Business & Skills Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1024927,23678
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2011,Sponsorship Support,Business & Skills Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1024927,30750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1025685,22338
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2011,Standard Desktop Plus Service (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1025685,9221.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,Mobile Phones,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1026067,8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Catering Services,Finance & Commercial Group - Commercial Directorate,BAXTERSTOREY LTD,1026517,16237.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Catering Services,Finance & Commercial Group - Commercial Directorate,BAXTERSTOREY LTD,1026517,16528.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1026588,13.21
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1026589,15.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1026591,1409.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1026592,88.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Hotels Overseas,Market and Frameworks Group - Europe and World Trade Directorates,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026594,646.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares Overseas,Market and Frameworks Group - Europe and World Trade Directorates,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026596,370.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026649,377.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026650,-368.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026651,-1761.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026656,-377.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026658,-1868.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Hotels (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026661,281.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026662,619.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026663,-599.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026665,511.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026666,-752.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026668,2338.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1026669,899.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal Services",THE TREASURY SOLICITORS DEPARTMENT,1026676,-7910
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal Services",THE TREASURY SOLICITORS DEPARTMENT,1026676,-64581.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/06/2011,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal Services",THE TREASURY SOLICITORS DEPARTMENT,1026676,-297.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026912,4061.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026912,983.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026912,13992.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026912,20916
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,DO NOT USE Grants - Non Statutory - Current - Other,Market and Frameworks Group - Consumer and Competition Policy,BRISTOL CITY COUNCIL,1026912,14863.03
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1027093,1644.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1027094,1644.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Other Overseas Travel & Subsistence,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",FOREIGN AND COMMONWEALTH OFFICE (FCO),1027095,376.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Other Overseas Travel & Subsistence,Market and Frameworks Group - Employment Relations,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027096,622.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027101,624.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027102,84.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027103,1603.15
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027104,241.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027105,1614.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027293,44.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027294,44.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027297,44.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027303,45.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027305,45.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,Other IT Costs (Programme),Market and Frameworks Group - Europe Directorate,DAISY COMMUNICATIONS LTD,1027307,-179.18
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1027361,80
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/06/2011,Mobile Phones,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1027370,420
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/06/2011,Other Training Costs,Business & Skills Group - USG Admin,THE OXFORD GROUP CONSULTING AND TRAINING LTD,1027377,1114.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027487,2960.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Grants - Current - Other,Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027489,9662.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Air Fares  - Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Hotels- Overseas  (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Subsistence Payments- Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,300
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Entertaining Overseas (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,1200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Hire of Conference Facilities (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,914.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Purchase of  Advertising and Publicity (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,2600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Conference and Exhibition Services (Programme),Knowledge and Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027490,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Taxis Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027491,44.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Taxis Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1027492,107.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2011,Standard Desktop Plus Services,Finance & Commercial Group - Commercial Directorate,DAISY COMMUNICATIONS LTD,1027500,35.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/06/2011,Static Line Rental,"Legal, People & Communications Group - Legal Services",DAISY COMMUNICATIONS LTD,1027501,35.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2011,Other Staff Welfare Costs,ESBR - Better Regulation Executive (BRE),ABILITYNET,1027646,770
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Accommodation Rentals,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1027662,44000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Service Charges,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1027662,4308.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/06/2011,Accommodation Rentals,Finance & Commercial Group - Commercial Directorate,CB RICHARD ELLIS,1027663,900000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/06/2011,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Commercial Directorate,FUJITSU SERVICES LTD,1027686,17398.38
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Publications,"Legal, People & Communications Group - Legal Services",LEXISNEXIS BUTTERWORTHS,1027690,324.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Mobile Call Charges,Shareholder Executive - Shareholder Executive,VODAFONE LTD,1027744,13.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2011,Other Accommodation Charges,Finance & Commercial Group - Commercial Directorate,RUSSAM GMS LTD,1027770,2756.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2011,Hire of Office Equipment,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",SHARP ELECTRONICS (UK) LTD,1027861,14.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Publications,Shareholder Executive - Shareholder Executive,THE STATIONERY OFFICE LTD,1027896,175
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Publications,Shareholder Executive - Shareholder Executive,THE STATIONERY OFFICE LTD,1027898,12.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2011,Business Continuity Planning Service,Finance & Commercial Group - Commercial Directorate,ADAM PHONES LTD,1028090,208.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Non Grant-in-Aid Funding of Bodies (Departmental and Non-Departmental),Market and Frameworks Group - Employment Relations,ACAS,1028111,3400000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Research & Development Expenditure (Programme),Knowledge and Innovation Group - Government Office For Science,ROCKWOOL FOUNDATION,1028112,7490.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,Electricity (Programme),Finance & Commercial Group - Commercial Directorate,EDF ENERGY plc,1028121,9796.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,Electricity (Programme),Finance & Commercial Group - Commercial Directorate,EDF ENERGY plc,1028121,7.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Publications,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,1028122,160
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Publications,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,1028122,156
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1028123,398.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/06/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1028128,409.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2011,Electricity (Programme),Finance & Commercial Group - Commercial Directorate,BRITISH GAS BUSINESS SERVICES LTD,1028129,42.88
