Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received,
Sheridan Westlake,,nil return,nil return,nil return
Giles Kenningham,,02-Oct-11,Tony Gallagher (Telegraph),Lunch
,,16-Nov-11,Total Politics,Lunch


"Does not normally include attendance at functions hosted by HM Government; attendance at ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences and seminars; working meals; light refreshments; attendance at lunches, dinners and receptions by professional bodies and their equivalents in local government and in the non-governmental public sector; meals provided at a conference; when accompanying ministers in the course of their official duties; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’",,,,
