Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,13/09/2010,Fees for professional services,Land Forces,A.A. SECURITIES LIMITED,690245,28362.88
Ministry of Defence,Ministry of Defence,01/09/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,685540,81.69
Ministry of Defence,Ministry of Defence,01/09/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,685540,1029.48
Ministry of Defence,Ministry of Defence,01/09/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,685540,14089.76
Ministry of Defence,Ministry of Defence,01/09/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,685540,11979.24
Ministry of Defence,Ministry of Defence,01/09/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,685540,260.17
Ministry of Defence,Ministry of Defence,02/09/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,686004,386.62
Ministry of Defence,Ministry of Defence,02/09/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,686004,9703.97
Ministry of Defence,Ministry of Defence,02/09/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,686004,14217.33
Ministry of Defence,Ministry of Defence,02/09/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,686004,5820.99
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Command Joint Operations,AAH PHARMACEUTICALS LTD,686570,993.62
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,686570,404.21
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,686570,306.94
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,686570,11258.86
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Land Forces,AAH PHARMACEUTICALS LTD,686570,36911.62
Ministry of Defence,Ministry of Defence,03/09/2010,Purchase of inventory and services ,Navy Command,AAH PHARMACEUTICALS LTD,686570,4042.28
Ministry of Defence,Ministry of Defence,06/09/2010,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,687216,2717.09
Ministry of Defence,Ministry of Defence,06/09/2010,Purchase of inventory and services ,Central TLB,AAH PHARMACEUTICALS LTD,687216,88.80
Ministry of Defence,Ministry of Defence,06/09/2010,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,687216,11826.91
