Name of Adviser,Date received,From,Gift,Outcome
Giles Wilkes,25-Apr-12,EngineeringUK,Large framed photo ,Held by the Department
Emily Walch,25-Apr-12,EngineeringUK,Large framed photo ,Held by the Department
