Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",5,4,12,11.83,32,31.61,16,15.1,1,1,0,0,66,64,1,1,0,0,0,0,0,0,1,1,67,65,"201,497.11",,,,"39,935.42","15,835.83","257,268.36","3,023.86",,"3,023.86","260,292.22",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",265,237,430,396,1077,1010,439,417,59,57,229,179,"2,499","2,296",13,13,0,0,5,5,2,2,20,20,"2,519","2,316","6,567,519.00","246,544.30","107,007.00","36,336.84","1,883,138.88","587,675.20","9,428,221.22","4,361.21","94,578.76","98,939.97","9,527,161.19",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,13.2,0,13,..,..,..,..,..,..,..,..,0,0,0,13,,,,,,,..,,,..,..,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,6.6,0,0,0,0,0,0,0,0,1,0.4,8,7,1,1,0,0,0,0,0,0,1,1,9,8,"17,247.48",216.8,0,0,"3,283.28","1,263.79","22,011.35",,,0,"22,011.35",3.5FTE (HC=4) additional staff are seconded from HEFCE; The director for Fair Access (0.6FTE) is on the BIS payroll
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,11.6,0,12,..,..,..,..,..,..,..,..,0,0,0,12,,,,,,,..,,,..,..,..
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",135,128.9,247,237.4,919,903.5,319,303.6,34,32,27,27,"1,681","1,632",6,6,0,0,3,3,0,0,9,9,"1,690","1,641","4,763,036.00","164,956.00",300,"156,312.00","1,233,323.00","416,113.00","6,734,040.00","48,254.00",,"48,254.00","6,782,294.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",103,100.1891892,393,381.3,530,517.6621622,161,160.1648649,44,43.44594595,2,1.945945946,"1,233","1,205",9,9,0,0,125,125,3,3,137,137,"1,370","1,342","4,172,762.37","121,089.95",0,"2,052.95","844,646.05","391,679.61","5,532,230.93","1,111,204.07",,"1,111,204.07","6,643,435.00",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,6,0,6,..,..,..,..,..,..,..,..,0,0,0,6,,,,,,,..,,,..,..,..
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,14,0,14,..,..,..,..,..,..,..,..,0,0,0,14,,,,,,,..,,,..,..,..
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1305,1199,613,586,88,85.56,10,10,8,8,7,0.96,"2,031","1,890",143,143,0,0,82,82,0,0,225,225,"2,256","2,115","3,657,263.46","88,650.78","19,189.09","178,820.80","293,953.81","298,145.97","4,536,023.91","695,704.00","102,765.00","798,469.00","5,334,492.91",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,38,38,12,12,67,67,6,6,0,0,123,123,20,20,46,46,0,0,0,0,66,66,189,189,"485,464.00","88,927.00",,,"102,611.00","58,596.00","735,598.00","545,762.00",,"545,762.00","1,281,360.00",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",14,13,13,12,49,48,14,14,6,6,0,0,96,93,0,0,0,0,0,0,0,0,0,0,96,93,"$316,162.00",,,,"$63,065.00","$27,812.00","407,039.00",,,,"407,039.00",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",235,205.3,227,217.11,238,231.77,224,210.88,27,27,0,0,951,892,18,18,0,0,25,25,0,0,43,43,994,935,"2,120,646.00","81,613.00","7,423.00","7,254.00","437,419.00","181,507.00","2,835,862.00","107,222.00","2,207.00","109,429.00","2,945,291.00",We do not produce a set of accounts for April due to the fact that we are still working on year end accounts for audit. Therefore these figures are subject to change when we complete the April and May accounts at the beginning of June.
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,9,9,16,15.8,4,4,1,1,36,36,0,0,0,0,1,1,0,0,1,1,37,37,"124,005.00",0,0,"5,341.00","24,175.00","12,650.00","166,171.00","7,000.00",,"7,000.00","173,171.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",62,57.48,62,59.81,282,278.38,101,99.6,10,9.6,14,14,531,519,4,4,0,0,336,336,0,0,340,340,871,859,"1,702,804.00",,"60,586.00","28,225.00","253,732.00","157,958.00","2,203,305.00","1,134,552.00",0,"1,134,552.00","3,337,857.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,15.7,0,16,..,..,..,..,..,..,..,..,0,0,0,16,,,,,,,..,,,..,..,..
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",40,33.92,506,492.71,417,405.72,109,106.56,6,6,3,0.73,"1,081","1,046",45,45,2,2,84,84,0,0,131,131,"1,212","1,177","2,786,334.00","67,273.00","8,416.00","45,853.00","546,353.00","232,169.00","3,686,398.00","780,641.29",,"780,641.29","4,467,039.29",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,4,3.1,1935,1859.3,"1,939","1,862",12,12,18,18,34,34,0,0,64,64,"2,003","1,926","4,832,869.00","363,878.00","1,647.00","172,048.00","989,638.00","424,482.00","6,784,562.00","396,590.00","5,629.00","402,219.00","7,186,781.00",

,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
