Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,20-Jul-12,Information Systems Maintenance,DG CHANGE & DELIVERY,3M UNITED KINGDOM PLC,1050718,"61,687.50",
FCO,FCO,20-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,3M UNITED KINGDOM PLC,1050718,"12,337.50",
FCO,FCO,19-Jul-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PEPCO ENERGY SERVICES INC,1005091,"285,181.44",
FCO,FCO,24-Jul-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS(IFES),1051030,"32,390.64",
FCO,FCO,24-Jul-12,Rental Payments - non residential,DG CHANGE & DELIVERY,KBC VERZEKERINGEN NV,1017859,"26,424.96",
FCO,FCO,05-Jul-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,INTERNEWS SERVICE CENTRE,1000758,"59,532.77",
FCO,FCO,03-Jul-12,General Information Services,DG CHANGE & DELIVERY,GRAYLING UK LIMITED,1049227,"37,326.00",
FCO,FCO,03-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,GRAYLING UK LIMITED,1049227,"7,465.20",
FCO,FCO,20-Jul-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1050763,"36,081.57",
FCO,FCO,20-Jul-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1050763,766.51,
FCO,FCO,20-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1050763,153.3,
FCO,FCO,27-Jul-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,SG ELECTRICAL SOLUTIONS,1051444,"27,700.00",
FCO,FCO,26-Jul-12,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,HEARTEFACT FUND,2011528,"29,200.00",
FCO,FCO,12-Jul-12,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,PT CHAZARO GERBANG INTERNASIONAL,12571,"38,760.69",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,54.14,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"36,883.20",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"25,250.00",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,100,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"2,107.00",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"3,225.00",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"21,363.80",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-36,883.20",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,77,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"15,421.64",
FCO,FCO,26-Jul-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"36,883.20",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,77,
FCO,FCO,26-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"6,147.20",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,-77,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-15,421.64",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,-77,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-21,363.80",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-3,225.00",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,-100,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-2,107.00",
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,-54.14,
FCO,FCO,26-Jul-12,Information Systems Under £3000 (non-capitalised),DG CENTRAL GROUP,WEBEX COMMUNICATIONS UK LTD,1051401,"-25,250.00",
FCO,FCO,26-Jul-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"30,736.00",
FCO,FCO,26-Jul-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"36,939.58",
FCO,FCO,26-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"-6,147.20",
FCO,FCO,26-Jul-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,WEBEX COMMUNICATIONS UK LTD,1051401,"6,147.20",
FCO,FCO,25-Jul-12,FM Interserve BES Maintenance,#N/A,ISS FACILITY SERVICES LTD FCO OP,5000354,"80,526.83",
FCO,FCO,25-Jul-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"2,938.62",
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,646.6,
FCO,FCO,25-Jul-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,293.86,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,613.58,
FCO,FCO,25-Jul-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,881.59,
FCO,FCO,25-Jul-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,293.86,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,526.64,
FCO,FCO,25-Jul-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"17,494.71",
FCO,FCO,25-Jul-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"1,175.45",
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,123.33,
FCO,FCO,25-Jul-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,524.46,
FCO,FCO,25-Jul-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,881.59,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,52.9,
FCO,FCO,25-Jul-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,587.72,
FCO,FCO,25-Jul-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,705.09,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,39,
FCO,FCO,25-Jul-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,104.64,
FCO,FCO,25-Jul-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,646.5,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,25.19,
FCO,FCO,25-Jul-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,293.86,
FCO,FCO,25-Jul-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"51,096.90",
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,44.91,
FCO,FCO,25-Jul-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,505.55,
FCO,FCO,25-Jul-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"5,056.25",
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,384.62,
FCO,FCO,25-Jul-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,117.55,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,29.38,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,47.02,
FCO,FCO,25-Jul-12,Water Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,47.63,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,29.38,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,300.54,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,380.91,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,117.55,
FCO,FCO,25-Jul-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"2,350.89",
FCO,FCO,25-Jul-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,646.5,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,88.16,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,95.15,
FCO,FCO,25-Jul-12,Telephone line and equipment rental charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,881.59,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,70.51,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,333.16,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,64.66,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,64.65,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,164.46,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,88.16,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"5,109.69",
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,237.14,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"1,749.47",
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,52.44,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,498.64,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,62.17,
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,58.77,
FCO,FCO,25-Jul-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,"2,668.74",
FCO,FCO,25-Jul-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,10.47,
FCO,FCO,25-Jul-12,Gas Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000234,99.92,
