Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"15,604","14,848","8,222","8,026","13,408","13,170","2,198","2,162",243,240,"17,110","16,635","56,785","55,081","1,131","1,072",57,56,145,145,46,46,"1,379","1,320","58,164","56,401","£133,033,009",£0,£0,"£4,794,758","£23,725,824","£10,537,818","£172,091,408","£3,039,501","£11,917,441","£14,956,943","£187,048,351",,
Defence Support Group,Executive Agency,Ministry of Defence,656,636,"1,737","1,723",247,243,65,64,5,5,77,77,"2,787","2,749",133,131,1,1,1,1,0,0,135,133,"2,922","2,882","£5,660,476","£346,250",,"£370,321","£1,060,727","£476,062","£7,913,835","£311,579",£607,"£312,186","£8,226,022",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,194,191,277,266,"1,955","1,908","1,283","1,224",30,27,0,0,"3,739","3,617",12,12,0,0,140,131,4,1,156,144,"3,895","3,762","£10,454,998","£101,754",£304,"£442,654","£2,064,716","£952,751","£14,017,177","£950,326","£24,324","£974,650","£14,991,827",31/12/2011,FTE & HC SCS include Dstl Level 9
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,172,166,0,0,0,0,0,0,0,0,0,0,172,166,1,1,0,0,0,0,2,0,3,1,175,167,"£333,185","£7,027",£53,"£12,113","£16,839","£32,467","£401,684","£1,498",£0,"£1,498","£403,182",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,22,19,2,2,1,1,1,1,1,1,0,0,27,23,0,0,0,0,0,0,0,0,0,0,27,23,"£50,208",£511,£0,£447,"£6,352","£4,427","£61,944",£0,£0,£0,"£61,944",.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,3,3,1,1,48,46,57,55,0,0,0,0,2,2,0,0,2,2,59,57,"£159,929","£12,824",£0,"£1,734","£33,314","£14,038","£221,839","£5,970",£0,"£5,970","£227,809",.,
