UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC18512,01-Dec-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,526.84,18512
MODGPC18512,23-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,815.00",18512
MODGPC18513,01-Dec-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"2,928.23",18513
MODGPC18513,24-Nov-11,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",972,18513
MODGPC18514,28-Nov-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,892.62,18514
MODGPC18514,08-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,784.8,18514
MODGPC18515,07-Dec-11,Leisure Activities                 , BOAT DEALERS,"3,544.37",18515
MODGPC18515,15-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,549.6,18515
MODGPC18516,01-Dec-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"3,780.00",18516
MODGPC18516,16-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,500.00",18516
MODGPC18517,18-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,888,18517
MODGPC18517,05-Dec-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"1,110.14",18517
MODGPC18518,05-Dec-11,Building Services                  ," HEATING, PLUMBING, AIR COND",767.72,18518
MODGPC18518,21-Nov-11,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"1,256.00",18518
MODGPC18519,07-Dec-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,516.75,18519
MODGPC18519,16-Nov-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,512.34,18519
MODGPC18520,16-Nov-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,850,18520
MODGPC18520,13-Dec-11,Utilities and Non Automotive Fuel  , UTILITIES/ELEC/GAS/H2O/SANI,867.28,18520
MODGPC18521,16-Nov-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"1,191.80",18521
MODGPC18521,02-Dec-11,Utilities and Non Automotive Fuel  , UTILITIES/ELEC/GAS/H2O/SANI,941.28,18521
MODGPC18522,18-Nov-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,596.55,18522
MODGPC18522,06-Dec-11,Utilities and Non Automotive Fuel  , UTILITIES/ELEC/GAS/H2O/SANI,"1,018.31",18522
MODGPC18523,01-Dec-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,851.52,18523
MODGPC18523,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,900.80",18523
MODGPC18524,08-Dec-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"9,588.01",18524
MODGPC18524,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,478.40",18524
MODGPC18525,23-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"3,215.70",18525
MODGPC18525,08-Dec-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,934.2,18525
MODGPC18526,23-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"2,209.02",18526
MODGPC18526,06-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,178.15",18526
MODGPC18527,25-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"7,356.53",18527
MODGPC18527,09-Dec-11,Statutory Bodies                   , GOV'T SERV - DEFAULT,904.5,18527
MODGPC18528,29-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,606.24,18528
MODGPC18528,09-Dec-11,Leisure Activities                 ," MARINAS, SERVICE & SUPPLY",555.97,18528
MODGPC18529,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,807.38",18529
MODGPC18529,06-Dec-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,532.15,18529
MODGPC18530,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,568.44,18530
MODGPC18530,12-Dec-11,Mail Order / Direct Selling        , CATALOG MERCHANT,690,18530
MODGPC18531,13-Dec-11,General Retail and Wholesale       , ELECTRONICS STORES,759.45,18531
MODGPC18531,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,524.09,18531
MODGPC18532,01-Dec-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,156.32",18532
MODGPC18532,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,568.44,18532
MODGPC18533,07-Dec-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,669.31,18533
MODGPC18533,14-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,077.12",18533
MODGPC18534,14-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,646.27,18534
MODGPC18534,07-Dec-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,909,18534
MODGPC18535,23-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,760.32,18535
MODGPC18535,07-Dec-11,"Office Stationery, Equipment and Su", STATIONERY STORES,656.68,18535
MODGPC18536,09-Dec-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,687.04,18536
MODGPC18536,23-Nov-11,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,984,18536
MODGPC18537,29-Nov-11,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT","1,104.00",18537
MODGPC18537,09-Dec-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,089.01",18537
MODGPC18538,07-Dec-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"1,123.58",18538
MODGPC18538,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"1,038.60",18538
MODGPC18539,14-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,756.66,18539
MODGPC18539,08-Dec-11,Medical Supplies and Services      , DRUG STORES & PHARMACIES,900,18539
MODGPC18540,01-Dec-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,529.52,18540
MODGPC18540,14-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,512.80",18540
MODGPC18541,07-Dec-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,537.22,18541
MODGPC18541,14-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,107.07",18541
MODGPC18542,16-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,864.56,18542
MODGPC18542,01-Dec-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,956.16,18542
MODGPC18543,23-Nov-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,996.84,18543
MODGPC18543,08-Dec-11,Mail and Courier Services          , POSTAGE STAMPS,708.43,18543
MODGPC18544,29-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"3,963.84",18544
MODGPC18544,13-Dec-11,Training and Educational           , SCHOOLS - DEFAULT,"5,016.00",18544
MODGPC18545,29-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,313.60",18545
MODGPC18545,13-Dec-11,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,876,18545
MODGPC18546,08-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,928.00",18546
MODGPC18546,29-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,186.88",18546
MODGPC18547,08-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,786.00",18547
MODGPC18547,29-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"6,575.88",18547
MODGPC18548,08-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,156.20",18548
MODGPC18548,29-Nov-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"4,118.40",18548
MODGPC18549,08-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,034.00",18549
MODGPC18549,16-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,950,18549
MODGPC18550,08-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"2,077.50",18550
MODGPC18550,23-Nov-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,800.00",18550
MODGPC18551,17-Nov-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"3,120.00",18551
MODGPC18551,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,622.5,18551
MODGPC18552,18-Nov-11,Print and Advertising              , ADVERTISING SERVICES,"2,357.50",18552
MODGPC18552,09-Dec-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,659.25,18552
MODGPC18553,18-Nov-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"2,594.94",18553
MODGPC18553,09-Dec-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,600,18553
MODGPC18554,06-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"1,165.25",18554
MODGPC18554,21-Nov-11,General Retail and Wholesale       , SPORTING GOODS STORES,714,18554
MODGPC18555,14-Nov-11,General Retail and Wholesale       , ART DEALERS & GALLERIES,686.4,18555
MODGPC18555,06-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"20,065.50",18555
MODGPC18556,23-Nov-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"4,788.67",18556
MODGPC18556,06-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"10,087.00",18556
MODGPC18557,29-Nov-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"1,987.26",18557
MODGPC18557,06-Dec-11,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,"4,985.75",18557
MODGPC18558,09-Dec-11,General Retail and Wholesale       , SPORTING GOODS STORES,"1,772.88",18558
MODGPC18558,15-Nov-11,Training and Educational           , SCHOOLS - DEFAULT,"1,080.00",18558
MODGPC18559,24-Nov-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"3,468.97",18559
MODGPC18559,09-Dec-11,Training and Educational           , SCHOOLS - DEFAULT,"2,314.20",18559
MODGPC18560,28-Nov-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,173.98",18560
MODGPC18560,01-Dec-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,"2,700.00",18560
MODGPC18561,01-Dec-11,General Retail and Wholesale       , SPORTING GOODS STORES,"1,504.80",18561
