Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence ,Ministerial Department,Ministry of Defence,13836,13221.88,7525,7345.04,12484,12281.62,2086,2062.46,228,225.48,15961,15509.99,52120,50646.48,980,937.75,75,72.97,155,154.97,44,43.94,1254,1209.64,53374,51856.13,"124,010,000",-,-,"£6,193,000","£22,238,000","£10,269,000","£162,710,000","£4,106,000","£1,961,399","£6,067,399","£168,777,399","Costs relating to allowances and performance are recorded under the same category as salary, so figures cannot be separated from standard salary payments. Consultancy costs for April - June cannot be accurately attributed to individual months, so the total figure for this period has been equally split against each month."
Defence Support Group,Executive Agency,Ministry of Defence,529,511.93,1622,1608.56,251,247.57,60,59.65,5,5,59,59,2526,2491.71,214,213.67,1,0.65,0,0,0,0,215,214.32,2741,2706.03,"5,163,369","£397,199",0,"£322,798","£957,999","£449,010","£7,290,375","£482,682","£58,450","£541,133","£7,831,508",
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,222,218.95,284,272.35,1897,1846.98,1304,1250.65,31,28.45,0,0,3738,3617.38,2,2,0,0,170,159.25,1,0.5,173,161.75,3911,3779.13,"10,408,606","£103,920",0,"£303,176","£2,048,193","£946,697","£13,810,592","£1,181,677","£1,753","£1,183,430","£14,994,023",FTE & HC SCS include Dstl Level 9
UK Hydrographic Office,Executive Agency,Ministry of Defence,164,153.6,385,355.9,426,402.4,80,78.3,2,2,6,6,1063,998.2,13,12.5,0,0,103,101.3,0,0,116,113.8,1179,1112,"2,494,106","£68,783",78845.36,"£45,057","£485,589","£213,214","£3,385,595","£741,625",£0,"£741,625","£4,127,220",
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,181,174,0,0,0,0,0,0,0,0,0,0,181,174,0,0,0,0,0,0,2,0.11,2,0.11,183,174.11,"341,047","£7,463",138,"£15,645","£17,397","£32,317","£414,007",£0,£0,£0,"£414,007",The RAF Museum is devolved and does not operate the MOD/civil service grading structure.
National Museum of the Royal Navy,Other,Ministry of Defence,23,19.5,2,1.5,2,2,1,1,1,1,0,0,29,25,0,0,0,0,0,0,0,0,0,0,29,25,"58,895",£927,0,"£1,386","£6,749","£5,564","£73,521",£0,£0,£0,"£73,521",It is likely that the National Museum of the Royal Navy will cease being a NDPB from 1 April 2012.
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,0,0,3,3,4,4,1,1,49,45.99,58,54.99,2,2,0,0,1,1,0,0,3,3,61,57.99,"150,055","£12,104",0,£712,"£31,058","£12,104","£206,035","£1,500","£6,618","£8,118","£214,153",
