,2008/09
Periodic Training Hours logged,"430,714"
Periodic training completed successfully and DQC triggered,655
Initial Qualifacation completed and DQC triggered ,"3,948"
Total DQC's issued (excludes replacements corrections etc),"4,603"
Non UK EU/EEA DQCs triggered,
Total centres approved,271
Total courses approved,514
Total courses completed,"9,003"
Total attendees,"51,834"
Total individual drivers active,"47,686"
