Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",1-Jul-11,Sunday Times,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",4-Jul-11,Independent,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",11-Jul-11,Daily Mail and The Sun,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",14-Jul-11,Guardian,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",12-Sep-11,Sunday Telegraph,Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",14-Sep-11,"Lionel Barber, Financial Times",Lunch
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",19-Sep-11,"James Harding, The Times and others",Lunch (Party Conference)
"Minister of State (Universities and Science), Rt Hon David Willetts MP",6-Jul-11,Prospect Magazine,Breakfast
"Minister of State (Universities and Science), Rt Hon David Willetts MP",6-Jul-11,Royal Society,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11-Jul-11,University of Oxford,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11-Jul-11,Royal Academy of Engineering,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",13-Jul-11,Daily Telegraph,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",13-Jul-11,Deutsche Bank,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",18-Jul-11,Booz & Co,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",25-Jul-11,BBC,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Jul-11,Universities UK,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",30-Aug-11,University of Surrey,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",21-Sep-11,TSL Education Ltd,Lunch
"Minister of State (Universities and Science), Rt Hon David Willetts MP",22-Sep-11,Oxford Innovation Society,Dinner
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Sep-11,University of Bristol,Breakfast
"Minister of State (Universities and Science), Rt Hon David Willetts MP",26-Sep-11,Bristol and Bath Science Park,Lunch
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",4-Jul-11,Deloitte,Lunch
"Minister of State (Trade and Investment), Lord Green",4-Jul-11,The Law Society,Breakfast
"Minister of State (Trade and Investment), Lord Green",5-Jul-11,HSBC,Lunch
"Minister of State (Trade and Investment), Lord Green",5-Jul-11,British Bankers Association,Dinner
"Minister of State (Trade and Investment), Lord Green",8-Jul-11,Scottish Council for Development,Breakfast
"Minister of State (Trade and Investment), Lord Green",8-Jul-11,Scottish Whisky association,Lunch
"Minister of State (Trade and Investment), Lord Green",14-Jul-11,International Innovative Technologies Ltd,Lunch
"Minister of State (Trade and Investment), Lord Green",14-Jul-11,North East Chamber of Commerce,Dinner
"Minister of State (Trade and Investment), Lord Green",25-Jul-11,City University London,Lunch
"Minister of State (Trade and Investment), Lord Green",26-Jul-11,Law Society,Breakfast
"Minister of State (Trade and Investment), Lord Green",27-Jul-11,East Midlands International Trade Association,Breakfast
"Minister of State (Trade and Investment), Lord Green",27-Jul-11,Payne Worldwide,Lunch
"Minister of State (Trade and Investment), Lord Green",7-Sep-11,Solent LEP,Lunch
"Minister of State (Trade and Investment), Lord Green",13-Sep-11,Hong Kong Association,Lunch
"Minister of State (Trade and Investment), Lord Green",13-Sep-11,Hong Kong Trade Development Council,Dinner
"Minister of State (Trade and Investment), Lord Green",14-Sep-11,General Electric,Dinner
"Minister of State (Trade and Investment), Lord Green",16-Sep-11,Conseillers du Commerce Exterieur de la France,Dinner
"Minister of State (Trade and Investment), Lord Green",27-Sep-11,Lord Mayor of London,Breakfast
"Minister of State (Trade and Investment), Lord Green",28-Sep-11,Financial Leeds,Lunch
"Minister of State (Trade and Investment), Lord Green",28-Sep-11,National Metals Technology Centre ,Dinner
"Minister of State (Trade and Investment), Lord Green",29-Sep-11,Jardine Matheson,Lunch
"Minister of State (Trade and Investment), Lord Green",29-Sep-11,KPMG International,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",11-Jul-11,Westminster Forum,Lunch
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",26-Jul-11,Royal Mail,Dinner
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",27-Jul-11,National Federation of Sub Postmasters,Breakfast
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",8-Sep-11,Independent on Sunday,Lunch
