Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"17,053","16,166","8,755","8,534","14,200","13,928","2,322","2,282",246,243,"18,066","17,568","60,642","58,720","1,004",952,47,46,140,140,46,46,"1,237","1,185","61,879","59,904","£139,552,504",£0,£0,"£5,278,696","£24,959,142","£11,128,574","£180,918,915","£3,892,428","£1,441,650","£5,334,078","£186,252,993",,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,218,215,293,280,"1,953","1,906","1,250","1,192",29,27,0,0,"3,743","3,620",8,8,0,0,99,91,5,2,112,101,"3,855","3,721","£10,357,839","£102,918","£24,355","£270,459","£2,100,993","£927,402","£13,783,965","£629,489","£11,550","£641,039","£14,425,004",30/09/2011,
Defence Support Group,Executive Agency,Ministry of Defence,566,546,"1,854","1,837",258,255,61,61,5,5,95,94,"2,839","2,797",93,92,1,1,1,1,0,0,95,94,"2,934","2,891","£5,884,523","£365,814",,"£388,346","£1,103,340","£512,217","£8,254,240","£241,855",,"£241,855","£8,496,096",.,"Consultancy figure credit of £13,075 in month, cumulative July to date £25,015"
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,175,169,0,0,0,0,0,0,0,0,0,0,175,169,0,0,0,0,0,0,2,0,2,0,177,169,"£330,316","£7,330",£0,"£15,591","£16,929","£32,173","£402,339",£0,£0,£0,"£402,339",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Museum of the Royal Navy,Executive Non-Departmental Public Body,Ministry of Defence,23,20,2,2,1,1,1,1,1,1,0,0,28,24,0,0,0,0,0,0,0,0,0,0,28,24,"£49,284",£760,£0,"£6,065","£6,536","£4,744","£67,389",£0,£0,£0,"£67,389",1 new entrant wef 05/09/11,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,1,1,1,1,3,3,4,4,1,1,51,50,61,60,1,1,0,0,0,0,0,0,1,1,62,61,"£164,675","£12,981",£0,£941,"£33,897","£15,814","£228,307","£7,921",£0,"£7,921","£236,228",.,
