Minister,Gifts received over £140,Gifts given over £140,Date received/given,From/To,Value,Outcome
Attorney General Dominic Grieve QC MP,Rug,,Jan-11,General Abdul Rahim Wardak ,Over limit,Retained by Department
Attorney General Dominic Grieve QC MP,Rug,,Jan-11,President Karzai ,Over limit,Purchased by Minister
