Department;Family,Entity,Date,Expense;Type,Expense;Area,Supplier,Transaction;Number,Amount,Supplier;Type,Expenditure;Type;;;;;
DCLG,The;Planning;Inspectorate,21/12/2011,Records;Storage,Admin;Support,TNT;UK;"LTD,0116382/CR1772981/CR1768439,""8,441.28"",Large,Running";cost;;;;
DCLG,The;Planning;Inspectorate,21/12/2011,Records;Storage,Admin;Support,TNT;UK;LTD,0116382/CR1772981/CR1768439,-978.14,Large,Running;cost;;;;
DCLG,The;Planning;Inspectorate,23/12/2011,Pension;Services,Human;Resources,DEPARTMENT;FOR;WORK;&;"PENSIONS,2891418/2893366,""15,562.00"",Public";Sector,Running;cost;
DCLG,The;Planning;Inspectorate,23/12/2011,Pension;Services,Human;Resources,DEPARTMENT;FOR;WORK;&;"PENSIONS,2891418/2893366,""-15,562.00"",Public";Sector,Running;cost;
DCLG,The;Planning;Inspectorate,30/01/2012,Specialist;Contractors,NSI;Fees,DAVID;"HAINSWORTH,62,""1,713.60"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,30/01/2012,Specialist;Contractors,NSI;Fees,DAVID;"HAINSWORTH,63,""1,512.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,STUART;HALL,PINS;"01/12,""2,408.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Office;Consumables,Admin;"Support,XMA,R097976,""1,985.51"",Undefined,Running";cost;;;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,Tree;Preservation;Orders,B;J;UNWIN;FORESTRY;"CONSULTANCY,3843,""1,626.24"",Micro,Running";cost;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,MEGAN;"THOMAS,135,""1,276.80"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,S;P;"PLANNING,PINS1201,""1,276.80"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,CHARISMA;SPATIAL;"PLANNING,11039,""1,008.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,G;POWYS;"JONES,2012(02),""1,008.00"",Micro,Running";cost;;;;
DCLG,The;Planning;Inspectorate,31/01/2012,Specialist;Contractors,NSI;Fees,CAMBRIDGE;PLANNING;SERVICES,11,952.00,Micro,Running;cost;;;;
DCLG,The;Planning;Inspectorate,01/02/2012,Post;&;Courier,Estates,ROYAL;"MAIL,1106822508,""9,000.00"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,01/02/2012,Systems;Delivery,Human;Resources,LOGICA;IT;SERVICES;UK;"LTD,HRS126007,""4,313.84"",Large,Running";cost;;
DCLG,The;Planning;Inspectorate,01/02/2012,Staff;Medical;Care,Human;Resources,HEALTH;MANAGEMENT;"LTD,80086,""1,487.67"",Medium,Running";cost;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Vehicle;Hire,Admin;Support,ENTERPRISE;RENT;A;CAR;"LTD,522237,""9,953.29"",Large,Running";cost;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,IS;Projects,CAPITA;"RESOURCING,WN70106314,""4,536.68"",Large,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,CLIVE;"TOKLEY,76/2012,""4,088.00"",Micro,Running";cost;;;;;
DCLG,The;Planning;Inspectorate,02/02/2012,Specialist;Contractors,NSI;Fees,D;ROGER;"DYER,653,""3,427.20"",Micro,Running";cost;;;;
