Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Defence ,Ministerial Department,Ministry of Defence,"13,329","12,759","7,422","7,247","12,442","12,242","2,116","2,092",229,226,"15,603","15,161","51,141","49,727","1,120","1,076",91,88,142,142,44,44,"1,397","1,350","52,538","51,077","?150,441,000",?0,?0,"?4,944,000","?21,831,000","?12,340,000","?189,556,000","?3,894,000","?4,254,000","?8,148,000","?197,704,000","Costs relating to allowances and performance are recorded under the same category as salary, so figures cannot be separated from standard salary payments. ",The monthly increase on pay is due to the payment of Performance Awards during September.
Defence Support Group,Executive Agency,Ministry of Defence,523,503,"1,637","1,623",254,251,60,60,5,5,60,60,"2,539","2,501",242,241,7,6,0,0,0,0,249,247,"2,788","2,748","?5,163,712","?422,600","?1,252,621","?322,129","?960,504","?588,799","?8,710,364","?633,092","?9,603","?642,695","?9,353,059",.,
Defence Science & Technology Laboratory,Executive Agency,Ministry of Defence,224,220,282,270,"1,936","1,883","1,311","1,258",31,28,0,0,"3,784","3,659",2,2,0,0,184,167,2,1,188,170,"3,972","3,829","?10,418,212","?92,400",?0,"?264,130","?2,050,193","?934,489","?13,759,423","?1,205,661","?7,529","?1,213,190","?14,972,613",.,
UK Hydrographic Office,Executive Agency,Ministry of Defence,164,154,405,374,416,392,72,70,2,2,7,7,"1,066","1,000",19,19,0,0,105,102,0,0,124,121,"1,190","1,120","?2,516,117","?70,779","?544,234","?65,093","?489,860","?268,839","?3,954,922","?806,595",?0,"?806,595","?4,761,517",.,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,182,175,0,0,0,0,0,0,0,0,0,0,182,175,0,0,0,0,0,0,0,0,0,0,182,175,"?339,880","?6,794",?0,"?14,004","?15,660","?31,852","?408,190",?0,?0,?0,"?408,190",The RAF Museum is devolved and does not operate the MOD/civil service grading sructure.,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,0,4,0,1,0,43,6,51,6,0,0,0,0,1,1,0,0,1,1,52,7,"?159,256","?12,702",?0,?362,"?32,600","?12,696","?217,616",?0,?900,?900,"?218,516",.,
National Museum of the Royal Navy,Other,Ministry of Defence,22,22,1,1,4,4,1,1,1,1,0,0,29,29,0,0,0,0,0,0,0,0,0,0,29,29,"?66,250","?1,117","?4,610","?1,126","?7,039","?6,756","?86,897",?0,?0,?0,"?86,897",1 employee resigned 31/08/2012,
