Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,INITIAL CATERING SERVICES LTD T/A AUTOGRAPH,994489,1372.69375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Other IT Costs (Programme),Business Group - Information Economy,JEAN GOUGH,995279,579
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Media and Design Services,SCIENCE & RESEARCH GROUP - UK Space Agency,FOLIO CREATIVE COMMUNICATION,995211,2250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - UK Space Agency,NEW LINE LEARNING,995215,-870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - UK Space Agency,NEW LINE LEARNING,995215,870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - UK Space Agency,NEW LINE LEARNING,995215,870
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),995470,120000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Additions - Enterprise Equity Investments,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),995469,492545.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Economic Consultancy and Research,Universities and Skills Group - Further Education,CAMPBELL ESQ. LTD,995398,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Economic Consultancy and Research,Universities and Skills Group - Further Education,JEREMY LEE ASSOCIATES LTD (JLA),995404,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Abroad,Universities and Skills Group - Learners,EUROPEAN UNIVERSITY INSTITUTE (EUI),994528,-4784.90364
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Abroad,Universities and Skills Group - Learners,EUROPEAN UNIVERSITY INSTITUTE (EUI),994528,4784.90364
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grants - Statutory - Current - Abroad,Universities and Skills Group - Learners,EUROPEAN UNIVERSITY INSTITUTE (EUI),994528,4784.90364
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",RICHARD COLE,995335,746.125
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",WACE MORGAN SOLICITORS,995318,1207.2655
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CARPE-DATUM,995343,4030.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",EXPERIAN LTD,995297,1104.265
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,995333,2117.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,995328,2846.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,995330,3588.48525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MENDIP MEDIA GROUP LTD,995312,770
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",RSM TENON LTD,995288,23073.76875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",RSM TENON LTD,995286,35212.55275
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",WACE MORGAN SOLICITORS,995317,1694.05625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995433,47095.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995431,80092.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995429,92047.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995432,107069.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995428,132934.42
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995430,137108.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,"Business Group - Solutions for Business, Low Carbon & Services",ONE NORTH EAST,995426,2603651.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Outsourced Programme Management Services,"Legal, People & Communications Group - Communications Directorate",BADENOCH AND CLARK LTD,994680,730.1215
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Hotels Overseas,Fair Markets Group Summary - ECO,"Personal Expense, Name Witheld",10269153,1549.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Subsistence Payments Overseas,Fair Markets Group Summary - ECO,"Personal Expense, Name Witheld",10269153,829.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Car Hire and Leasing,Fair Markets Group Summary - ECO,"Personal Expense, Name Witheld",10269153,1008.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Telecommunications,Universities and Skills Group - USG Admin,PREMIERE GLOBAL SERVICES,994984,-106.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Taxis,Universities and Skills Group - USG Admin,RADIO TAXIS GROUP LTD,995251,-235.517
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Security Policy Service,Finance & Commercial Group - Information and Workplace Strategies,DISCLOSURE SCOTLAND,995361,529
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Accommodation Rentals,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),995427,7669.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Rates,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),995434,3028.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Service Charges,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),995427,-7669.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Service Charges,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),995427,769.34
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Service Charges,Finance & Commercial Group - Information and Workplace Strategies,DWP (DEPARTMENT FOR WORK AND PENSIONS),995427,7669.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Service Charges,Finance & Commercial Group - Information and Workplace Strategies,NATIONAL MEASUREMENT OFFICE,995438,2533.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,995157,5060
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS ENTERPRISE COMMUNICATIONS LIMITED,994760,-32590.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS ENTERPRISE COMMUNICATIONS LIMITED,994760,-198.44
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS ENTERPRISE COMMUNICATIONS LIMITED,994760,32590.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SIEMENS ENTERPRISE COMMUNICATIONS LIMITED,994760,32590.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,SPSS (UK) LTD,995322,17140.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,979892,-9329.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Grant in Aid - Current -Other,Business Group - Economic Development Directorate,YORKSHIRE FORWARD,995282,30000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Mileage Allowances (Programme),Business Group - Advanced Manufacturing Industries,"Personal Expense, Name Witheld",995357,1207.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Capital Grants - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE BRITISH ACADEMY,995325,35707.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10269131,612.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10269130,1556
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Independent Experts,Business Group - Advanced Manufacturing Industries,BRIAN JONES,995336,2245.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,HAYS ACCOUNTANCY PERSONNEL,995379,941.645
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/05/10,Outsourced Programme Management Services,Universities and Skills Group - Further Education & Skills Investment,OUGHTRED & HARRISON LTD,995323,572.0605
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,995493,15400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,PENINSULA BUSINESS SERVICES LTD,995570,12423.8625
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,GPC New Procedures,Corporate Balance,BARCLAYS BANK PLC,995627,11532.98
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,995623,51206.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,GPC New Procedures,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,995624,103655.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Payments to Barclays for Carlson Wagonlit Travel Contract,Finance & Commercial Group - Finance Group,BARCLAYS BANK PLC,995622,284256.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/05/10,Recoveries Account,Corporate Balance,BRITISH ENERGY GENERATION LTD,995531,66269.45
