Date of meeting,Minister,Organisation,Purpose of meeting
October,Attorney General Dominic Grieve QC MP,Meeting with Stephen Hockman and Nicholls Hilliard QC  ,To discuss the Bar 
November,Attorney General Dominic Grieve QC MP,Better Government Initiative,AGO responsibilities 
November,Attorney General Dominic Grieve QC MP,Bar Council ,Bar Council issues
November,Attorney General Dominic Grieve QC MP,John Smith Memorial Trust,Introductory meeting 
November,Attorney General Dominic Grieve QC MP,Metropolitan Police ,Introductory meeting 
November,Attorney General Dominic Grieve QC MP,Association of Chief Police Officers,Contempt of Court


October,Solicitor General Edward Garnier QC MP,City of London Law Society,To discuss the Economic Crime Agency
November,Solicitor General Edward Garnier QC MP,Nicholas Rowell,To discuss Deferred Prosecution Agreements
November,Solicitor General Edward Garnier QC MP,Bar Council ,Bar Council issues


"Meetings include those with newspaper and other media proprietors, editors and senior executives.",,,
