Department family,Entity,Entered On,Expense Type,Expense Area,Supplier Name,Voucher,SumOfAmount
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11259,1960.9
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Cost of Sales - Freelance Technicians,Interface,CHRIS BRAUN,11263,1040
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Audit Costs,Administration,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,11268,3190.25
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Consultants,Commercial,Jude Cosway Consultancy Services,11269,1605
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Marketing,Commercial,FRIDAY'S MEDIA GROUP LIMITED,11270,2500
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Travel,Event Management,GREATER LONDON HIRE LTD,11271,476.48
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Travel,Interface,GREATER LONDON HIRE LTD,11271,25.25
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,Marketing,Commercial,Marmalade On Toast,11272,500
Communities And Local Government,Queen Elizabeth II Conference Centre,05/05/2010,IT Equipment Maintenance,ITC Department,MEETING MATRIX GLOBAL SALES,11274,1639.49
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2010,Business Rates,Administration,CITY OF WESTMINSTER,11276,48304
Communities And Local Government,Queen Elizabeth II Conference Centre,06/05/2010,Staff Welfare,Administration,HEALTH MANAGEMENT LTD,11277,505
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Water,Operations,THAMES WATER UTILITIES LTD,11280,4652.13
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11283,528.4
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Cost of Sales - Freelance Technicians,Interface,LOUISA GLADWIN,11284,1694
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Marketing,Commercial,Leith's at the Centre,11286,981.53
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Electricity,Operations,EDF ENERGY,11287,25361.31
Communities And Local Government,Queen Elizabeth II Conference Centre,07/05/2010,Maintenance,Interface,DELPHINI LTD,11288,990
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Cost of Sales - Equipment Hire,Interface,ESSENTIAL LIGHTING LTD,11290,720
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11291,450.76
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Video Equipment,Interface,WORKING WALL LIMITED,11292,27599.52
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Audio Equipment,Interface,WORKING WALL LIMITED,11292,19708.01
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Audio Visual Equipment,Interface,WORKING WALL LIMITED,11292,7413
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Cost of Sales - Telecommunications,ITC Department,REDSTONE CONVERGED SOLUTIONS LTD,11293,4877.05
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Maintenance,Operations,JM SUPPLIES LTD,11295,4196.25
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Cost of Sales - Equipment Hire,Operations,EVE TRAKWAY LTD,11296,1288
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Cost of Sales - Equipment Hire,Operations,EVE TRAKWAY LTD,11297,980
Communities And Local Government,Queen Elizabeth II Conference Centre,10/05/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11300,435.08
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Maintenance,Operations,WATER SPLASH LTD,11302,1860
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Consumables,Interface,BARCLAYCARD PROCUREMENT CARD,11303,12.76
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Mobile Phone Costs,Interface,BARCLAYCARD PROCUREMENT CARD,11303,20
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11303,42.79
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Travel,Interface,BARCLAYCARD PROCUREMENT CARD,11303,95.26
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Stationery,Event Management,BARCLAYCARD PROCUREMENT CARD,11303,286.66
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,IT Equipment Maintenance,ITC Department,BARCLAYCARD PROCUREMENT CARD,11303,4065.61
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Travel,ITC Department,BARCLAYCARD PROCUREMENT CARD,11303,24
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11303,110.09
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Cost of Sales - Equipment Hire,Interface,BARCLAYCARD PROCUREMENT CARD,11303,9.95
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Internet & Telecomms,ITC Department,BARCLAYCARD PROCUREMENT CARD,11303,209.1
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Maintenance,Interface,BARCLAYCARD PROCUREMENT CARD,11303,177.91
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Maintenance,Operations,BARCLAYCARD PROCUREMENT CARD,11303,40.47
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Training,Administration,BARCLAYCARD PROCUREMENT CARD,11303,149
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Commercial,Leith's at the Centre,11307,21.6
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Operations,Leith's at the Centre,11307,5.9
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Commercial,Leith's at the Centre,11307,347.28
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Interface,Leith's at the Centre,11307,166.73
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Administration,Leith's at the Centre,11307,45.72
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Event Management,Leith's at the Centre,11307,177.48
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Administration,Leith's at the Centre,11307,411.22
Communities And Local Government,Queen Elizabeth II Conference Centre,11/05/2010,Entertaining,Interface,Leith's at the Centre,11307,23.6
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Commission,Commercial,CROWN BUSINESS COMM. LTD,11314,1282.01
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Commission,Interface,GovNet Communications,11315,500
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11317,1306.54
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cleaners & Porters,Event Management,GBM SERVICES LIMITED,11318,2012.45
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Maintenance,Operations,NATIONAL CRADLE MAINTENANCE LTD,11320,1810
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Freelance Technicians,Interface,DENE UNSWORTH,11321,831
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11322,2247
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11323,807
Communities And Local Government,Queen Elizabeth II Conference Centre,13/05/2010,Cost of Sales - Equipment Hire,Interface,TERRY TEW SOUND & LIGHT,11325,444
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Consultants,Commercial,Lychee3 Solutions Ltd,11330,3000
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Maintenance,Operations,A PERTON SIGNS LIMITED,11331,200
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Cost of Sales - Signage,Interface,A PERTON SIGNS LIMITED,11331,3650
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Cost of Sales - Sets,Interface,A PERTON SIGNS LIMITED,11331,7514
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Audio Equipment,Interface,WORKING WALL LIMITED,11333,1050
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Cost of Sales - Telecommunications,ITC Department,VERIZON UK LIMITED,11334,1005.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Internet & Telecomms,ITC Department,VERIZON UK LIMITED,11335,1267
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Marketing,Commercial,VERIZON UK LIMITED,11335,1.09
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Cost of Sales - Equipment Hire,ITC Department,VERIZON UK LIMITED,11336,2059
Communities And Local Government,Queen Elizabeth II Conference Centre,14/05/2010,Cost of Sales - Telecommunications,ITC Department,BRITISH TELECOM,11337,1957.17
Communities And Local Government,Queen Elizabeth II Conference Centre,17/05/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11344,9505.6
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2010,Audio Equipment,Interface,WHITE LIGHT LTD,11346,-435
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2010,Cost of Sales - Sets,Interface,THE KEW WORKSHOP COMPANY LTD,11354,3451
Communities And Local Government,Queen Elizabeth II Conference Centre,18/05/2010,Cost of Sales - Freelance Technicians,Interface,THE KEW WORKSHOP COMPANY LTD,11354,1290
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2010,Cost of Sales - Commission,Commercial,R Glasgow & Associates Public Relations Limited,11358,2068.5
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2010,Marketing,Commercial,Marmalade On Toast,11359,500
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2010,Exhibitions,Commercial,Visit London Ltd,11360,1350
Communities And Local Government,Queen Elizabeth II Conference Centre,19/05/2010,Cost of Sales - Equipment Hire,Interface,FIRST NETWORK LTD,11365,4678.5
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2010,Maintenance,Operations,WINTERHALTER LTD,11369,584
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2010,Gas,Operations,CORONA ENERGY,11370,5464.18
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2010,Training,Administration,JOANNA ASPIN CONSULTANCY & TRAINING,11371,766.5
Communities And Local Government,Queen Elizabeth II Conference Centre,20/05/2010,Consultants,Commercial,WATTERSTON ASSOCIATES LTD,11372,3900
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2010,Marketing,Commercial,Marmalade On Toast,11377,500
Communities And Local Government,Queen Elizabeth II Conference Centre,21/05/2010,Maintenance,Operations,SCHINDLER LIMITED,11378,9270
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Agency Labour,Administration,EXPRESS STAFFING SOLUTIONS LTD,11379,455
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Cost of Sales - Commission,Commercial,CROWN BUSINESS COMM. LTD,11381,2094
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Cost of Sales - Commission,Commercial,NYS Corporate Limited,11382,6180.9
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,11385,432.47
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,IT Equipment Maintenance,ITC Department,INSIGHT DIRECT UK LTD,11386,947.96
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Disposal Of Waste,Operations,BPR GROUP EUROPE LTD,11390,882.8
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Maintenance,Operations,PLANTERIA GROUP (UK) LTD,11391,4015.05
Communities And Local Government,Queen Elizabeth II Conference Centre,24/05/2010,Disposal Of Waste,Operations,BYWATERS (LEYTON) LTD,11394,699.8
Communities And Local Government,Queen Elizabeth II Conference Centre,25/05/2010,Maintenance,Operations,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,11396,1886.5
Communities And Local Government,Queen Elizabeth II Conference Centre,25/05/2010,Cost of Sales - Freelance Technicians,Interface,CHRISTOPHER SHEAD T/A Global Idea,11399,847
