Minister,Date,Name of organisation,"Type of Hospitality Received  (if accompanied by spouse, partner, or other family member or friend insert an asterisk *)"
Attorney General Dominic Grieve QC MP,Jul-11,Etihad Airways,Flight upgrade from Business to First Class – Melbourne to Abu Dhabi & Abu Dhabi to LHR   
Attorney General Dominic Grieve QC MP,06-Sep-11,Channel 4,Lunch


"Hospitality does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.",,,
