The;Planning;Inspectorate,,,,,,,,,;;;;;;
GPC;transactions;>=£500,,,,,,,,,;;;;;;
February;2012,,,,,,,,,;;;;;;;
;;;;;;;;
Department;Family,Entitity,Date,Expense;Type,Expense;Area,Supplier,Amount,Supplier;Type,Expenditure;Type,Comments;;;
DCLG,The;Planning;Inspectorate,10/02/2012,Learning;&;Development;Materials,Library,BSI;Shop,890.00,Undefined,Running,Purchase;of;Serials/Books/Maps
