Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2010,Technical Support,Business Group - Advanced Manufacturing Industries,ELIZABETH BRIGNALL,1001082,11162.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1002067,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/07/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1002344,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,999987,3113.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/07/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1000412,3113.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2010,Technical Support,Business Group - Advanced Manufacturing Industries,MICHAEL J RUSSELL LTD,1001634,15627.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2010,Media and Design Services,Universities and Skills Group - Higher Education,COI COMMUNICATIONS,1000132,20002.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2010,Media and Design Services,Universities and Skills Group - Higher Education,COI COMMUNICATIONS,1001851,22220
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/07/2010,Grants - Non Statutory - Current - Other,Universities and Skills Group - Higher Education,DEPARTMENT FOR EDUCATION,1001166,5718311.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,1002993,198739.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2010,Grants - Non Statutory - Current - Other,Business Group - Information Economy,ONE NORTH EAST,1000074,207429.08
