Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Foreign Secretary, Rt Hon William Hague MP",10-Oct,Luxembourg,Foreign Affairs Council,Scheduled,,£804
"Foreign Secretary, Rt Hon William Hague MP",16-19 October,"Valetta, Malta; Tripoli, Libya; Nouakchott, Mauritania; Algiers, Algeria",Official visit,RAF,8,"£7,485"
"Foreign Secretary, Rt Hon William Hague MP",24-30 October,"Perth, Australia",Commonwealth Heads of Government Meeting,Scheduled,,"£9,045"
"Foreign Secretary, Rt Hon William Hague MP",07-Nov,"Strasbourg, France",UK Chairmanship of the Council of Europe,Scheduled,,£901
"Foreign Secretary, Rt Hon William Hague MP",13-14 November,"Brussels, Belgium",General Affairs Council/ Foreign Affairs Council,Scheduled,,£387
"Foreign Secretary, Rt Hon William Hague MP",30 November -1 December,"Brussels, Belgium",General Affairs Council,Scheduled,,£277
"Foreign Secretary, Rt Hon William Hague MP",4-5 December,"Bonn, Germany",Bonn Conference on Afghanistan,Scheduled,,£859
"Foreign Secretary, Rt Hon William Hague MP",7-8 December,"Brussels, Belgium",NATO Foreign Minister’s Meeting,Scheduled,,£795
"Foreign Secretary, Rt Hon William Hague MP",11-12 December,"New York/Washington, USA",Bilaterals with Hillary Clinton and General Petraeus,Scheduled,,"£2,877"
"Foreign Secretary, Rt Hon William Hague MP",19-21 December,"Abu Dhabi, United Arab Emirates",Bilaterals with Abdullah bin Zayed bin Sultan Al Nahyan – Minister for Foreign Affairs & Mohammed bin Zayed bin Sultan Al Nahyan – Crown Prince,Scheduled,,"£2,692"
"Parliamentary Under-Secretary of State, Alistair Burt MP",12-Oct,"Paris, France",Bilateral meetings,Eurostar,,£125
"Parliamentary Under-Secretary of State, Alistair Burt MP",17 – 20 October  ,"Baghdad, Iraq and Amman, Jordan",Bilateral and business  meetings,Scheduled,,"£1,346"
"Parliamentary Under-Secretary of State, Alistair Burt MP",30 October – 3 November,"Abu Dhabi, UAE; Kuwait City, Kuwait; Istanbul, Turkey","UK/UAE Task Force, Royal Visit, Afghanistan Regional Conference",Scheduled,,"£2,329"
"Parliamentary Under-Secretary of State, Alistair Burt MP",8 – 11 November,"Male, Maldives",South Asia Regional Conference,Scheduled,,"£4,224"
"Parliamentary Under-Secretary of State, Alistair Burt MP",15-Nov,"Brussels, Belgium",Bilateral meetings,Eurostar,,£125
"Parliamentary Under-Secretary of State, Alistair Burt MP",20 - 23 November,"Kuwait City, Kuwait; Riyadh, Saudi Arabia ",G8 BMena Conference and Bilateral Meetings,Scheduled,,"£4,613"
"Parliamentary Under-Secretary of State, Alistair Burt MP",4 - 8 December,"Geneva, Switzerland; Tripoli, Libya",Disarmament Conference and Bilateral Meetings,Scheduled,,£993
"Parliamentary Under-Secretary of State, Alistair Burt MP",12 – 14 December,"Manama, Bahrain",Bilateral meetings,Scheduled,,"£2,578"
"Minister of State, The Rt Hon Lord Howell of Guildford",23-29 October,"Perth, Australia",Commonwealth Heads of Government Meeting,Scheduled,,"£4,374"
"Minister of State, The Rt Hon Lord Howell of Guildford",26-28 November,"Algiers, Algeria",UK – Algeria bilateral trade talks and the high level energy dialogue,Scheduled,,£992
"Minister of State, The Rt Hon Lord Howell of Guildford",3-6 December,"Doha, Qatar",World Petroleum Council Congress  ,Scheduled,,"£2,534"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",30 October - 10 November,"Windhoek, Namibia; Pretoria, South Africa; Maputo, Mozambique; Lusaka, Zambia; Dar es Salaam, Tanzania","To accompany HRH the Prince of Wales during his visit to South Africa, bilateral and business meetings, 50th anniversary of independence in Tanzania.",Scheduled,,"£5,822"
"Parliamentary Under-Secretary of State, Henry Bellingham MP",15 – 16 November,"The Hague, The Netherlands",Discussions with representatives of the International Criminal Court and bilateral meetings.,Scheduled,,£571
"Parliamentary Under-Secretary of State, Henry Bellingham MP",7-8 December,"Belgium, Brussels",Meetings with EU institutions to discuss piracy.,Eurostar,N/A,£290
"Minister of State, David Lidington MP",10-11 Oct,Luxembourg and,"Bilateral meetings, General Affairs Council",Scheduled,,£297
"Minister of State, David Lidington MP",,"Brussels, Belgium",,,,
"Minister of State, David Lidington MP",18-19,"Belfast, Northern Ireland ",Meeting with Devolved Administration,Scheduled,,£120
"Minister of State, David Lidington MP",Oct,,,,,
"Minister of State, David Lidington MP",20-Oct,"Dublin, Ireland and Brussels, Belgium",Bilateral visit,Scheduled,,£220
"Minister of State, David Lidington MP",20-Oct,"Brussels, Belgium to London, UK",General Affairs Council,Eurostar,,£145
"Minister of State, David Lidington MP",30 Oct to 1 Nov,"Belgrade, Serbia",Bilateral visit,Scheduled,,£443
"Minister of State, David Lidington MP",7-8 Nov,"The Hague, The Netherlands",Bilateral visit,Scheduled,,£258
"Minister of State, David Lidington MP",16-17 Nov,"Brussels, Belgium",General Affairs Council,Eurostar,,£144
"Minister of State, David Lidington MP",27-28 Nov,"Berlin, Germany",European Affairs Sub-Committee visit,Scheduled,,£438
"Minister of State, David Lidington MP",5-7 Dec,"Brussels, Belgium and Vilnius, Lithuania",General Affairs Council and OSCE Ministerial,Scheduled,,"£1,039"
"Jeremy Browne MP, Minister of State",13-23 October,"Miami, USA; Mexico City, Mexico; Panama City, Panama; San José, Costa Rica",Bilateral Visit,Scheduled,,"£5,351"
"Jeremy Browne MP, Minister of State",13-19 November,"Beijing, Shanghai, Chongqing, Chengdu, China",Bilateral Visit,Scheduled,,"£4,275"
"Jeremy Browne MP, Minister of State",27-29 November,"Recife, Brazil",Opening of new Consulate General,Scheduled,,"£2,842"
"Jeremy Browne MP, Minister of State",3-9 December,"Manila, Philippines; Singapore; Bali, Indonesia",Bilateral Visit &  Attendance to The Bali Conference ,Scheduled,,"£6,848"
,,,,,,
