Minister,Gifts received over £140,Gifts given over £140,Date received/given,From,Value,Outcome
Attorney General Dominic Grieve QC MP,Briefcase & Perfume,,Mar-12,Attorney General of Oman,Over limit,Retained by Department
Attorney General Dominic Grieve QC MP,Two watches ,,Mar-12,Attorney General of Qatar,Over limit,Retained by Department
Attorney General Dominic Grieve QC MP,Two watches ,,19-Mar,Attorney General of Bahrain,Over limit,Retained by Department
