Minister,Date received,From,Gift,Value (£), Outcome
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",20-Dec-11,Royal Embassy of Saudi Arabia,Hamper,Over limit,Hamper raffled and proceeds given to charity
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",21-Dec-11,Turkish Deputy Prime Minister,Sugar bowl,Over limit,Held by the Department
"Minister of State (Universities and Science), Rt Hon David Willetts MP",20-Dec-11,Royal Embassy of Saudi Arabia,Hamper,232,Purchased by the Minister
"Minister of State (Trade and Investment), Lord Green",15-Dec-11,Harvey Nichols,Hamper,Over limit,Hamper raffled and proceeds given to charity
"Minister of State (Trade and Investment), Lord Green",20-Dec-11,Royal Embassy of Saudi Arabia,Hamper,Over limit,Hamper raffled and proceeds given to charity
