Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",143,137,250,239,937,921,310,299,37,34,58,52,"1,735","1,682",17,15,1,0.5,11,11,0,0,29,26.5,"1,764","1,709","4,834,708.00","155,976.00","308,119.00","131,173.00","1,246,960.00","459,728.00","7,136,664.00","113,242.00",,"113,242.00","7,249,906.00",
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",109,105.59,414,400.39,559,546.37,163,162.32,46,45.45,2,1.95,"1,293","1,262",7,7,0,0,103,103,1,1,111,111,"1,404","1,373","4,313,774.86","123,632.94",0,400.77,"871,936.38","402,635.53","5,712,380.48","741,265.00",0,"741,265.00","6,453,645.48",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1533,1430,679,653.9,95,92.36,12,12,8,8,7,0.96,"2,334","2,197",201,201,0,0,109,109,0,0,310,310,"2,644","2,507","3,937,472.45","117,259.76","7,978.73","157,641.92","304,164.14","317,558.73","4,842,075.73","921,258.00",,"921,258.00","5,763,333.73",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,39,39,17,17,77,77,6,6,31,31,170,170,15,15,0,0,0,0,0,0,15,15,185,185,"714,087.20","105,732.68",,,"130,739.86","85,982.58","1,036,542.32","141,741.73",,"141,741.73","1,178,284.05",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",23,22.7,13,12.2,50,49.6,14,13.8,6,6,0,0,106,104,0,0,0,0,0,0,0,0,0,0,106,104,"331,753.00",,,,"63,684.00","29,656.00","425,093.00",0,,0,"425,093.00",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",235,207.36,225,214.1,261,254.43,229,216.16,29,29,0,0,979,921,37,37,0,0,25,25,0,0,62,62,"1,041",983,"2,258,197.00","84,264.00","6,953.00","86,295.00","466,978.00","195,460.00","3,098,147.00","323,317.00",,"323,317.00","3,421,464.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,6,6,10,10,19,18.83,4,4,0,0,40,40,0,0,0,0,0,0,0,0,0,0,40,40,"141,098.00",,,"2,017.00","26,544.00","13,375.00","183,034.00",,,0,"183,034.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",64,59.59,68,65.14,281,278.04,102,100.36,10,9.6,17,17,542,530,2,2,0,0,381,381,0,0,383,383,925,913,"1,648,591.00",0,"176,377.00","80,347.00","259,000.00","177,795.00","2,342,110.00","1,447,039.00",0,"1,447,039.00","3,789,149.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",39,33.32,522,509.22,416,405.27,113,110.94,6,5.6,6,3.73,"1,102","1,068",45,45,1,1,87,87,0,0,133,133,"1,235","1,201","2,856,454.00","61,631.00","15,104.00","20,467.00","560,742.00","237,575.00","3,751,973.00","1,003,872.39",,"1,003,872.39","4,755,845.39"
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,4,3.1,1929,1852.1,"1,933","1,855",17,17,19,19,36,36,0,0,72,72,"2,005","1,927","4,806,490.00","353,887.00","72,854.00","162,699.00","993,496.00","426,833.00","6,816,259.00","411,227.00",0,"411,227.00","7,227,486.00"
