Department,Organisation Name,Basis for Exception, Value ,Approval month,
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£7,400,000",Apr-12,ERG - M00386 &387
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£400,000",Apr-12,ERG - M00386 &388
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£9,362,400",Jun-12,
MOD,Tri-Service Recruiting,"Robust evidence, critical information","£10,681,000",Jun-12,ERG - M00444 &00446
,,,"£27,843,400",,
