Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Net Total
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024134,31.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2011,Taxis,Knowledge and Innovation Group - Government Office For Science,ADDISON LEE plc,1024242,1010.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024382,38.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024383,1181.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024384,50.22
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024417,62.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024419,70.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024552,33.81
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024552,32.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Publications,Knowledge and Innovation Group - Government Office For Science,JONES YARRELL LEADENHALL,1024552,4.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024932,132.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2011,Car Hire and Leasing,Knowledge and Innovation Group - Government Office For Science,GOVERNMENT CAR AND DESPATCH AGENCY,1024933,569.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Other Telephone Costs,Knowledge and Innovation Group - Research Base,PREMIERE CONFERENCING IRELAND LTD,1024846,33.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10276891,1.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10276891,19.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10276891,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277045,2.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277045,29.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277045,20
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277077,1.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2011,Taxis,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277077,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/04/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277143,12
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277143,40
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277175,28.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Other UK Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277175,3.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277175,78.11
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277175,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277190,3.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Air Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277190,14.61
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277190,10
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277190,61.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277259,8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Mileage Allowances,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277259,1.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277259,9.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277259,34.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277259,10.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Rail Fares,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Mileage Allowances,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,2.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Rail Fares Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,11.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Hotels Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,35.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,5.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2011,Other Overseas Travel & Subsistence,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277260,20.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/04/2011,Subsistence Payments Overseas,Knowledge and Innovation Group - Research Base,"Personal Expense, Name Witheld.",10277290,52.51
