Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Nick Hillman,21-Jul-11,University Alliance,Dinner
Nick Hillman,9-Aug-11,BPP University College,Lunch
Nick Hillman,12-Aug-11,Bell Pottinger,Lunch
Nick Hillman,15-Aug-11,Sutton Trust,Lunch
Nick Hillman,2-Sep-11,Sunday Telegraph,Lunch
Nick Hillman,7-Sep-11,UUK,Dinner
Nick Hillman,20-Sep-11,Voodoo,Dinner
Katie Waring,1-Jul-11,Macquarie,Lunch
Katie Waring,4-Jul-11,The Independent,Lunch
Katie Waring,7-Jul-11,Daily Mail,Lunch
Katie Waring,11-Jul-11,Daily Mail and The Sun,Lunch
Katie Waring,18-Jul-11,Financial Times,Lunch
Katie Waring,18-Aug-11,Bell Pottinger,Tickets to England Cricket match  and lunch
Katie Waring,14-Sep-11,Financial Times,Lunch
Katie Waring,29-Sep-11,Sky News BSKYB,Lunch
Giles Wilkes,1-Jul-11,Sunday Times,Lunch
Giles Wilkes,4-Aug-11,The Guardian,Lunch
Giles Wilkes,13-Sep-11,Lloyds Banking Group,Dinner
Giles Wilkes,20-Sep-11,Centre Forum,Dinner
Giles Wilkes,21-Sep-11,Demos,Breakfast
