SPECIAL ADVISERS INFORMATION ,,,
HOSPITALITY ,,,

Name ,Organisation ,Type of Hospitality ,Date 
Hayden Allan,BBC,Lunch,01-Jul-11
Hayden Allan,Associated Newspapers,Lunch,03-Aug-11
Hayden Allan,Associated Newspapers,Lunch,16-Aug-11
Hayden Allan,News International,Lunch,27-Sep-11
Luke Coffey,Associated Newspapers,Lunch,18-Aug-11
Luke Coffey,Channel Four Television ,Lunch,19-Aug-11
Oliver Waghorn,BBC,Lunch,01-Jul-11
