MINISTERIAL INFORMATION 1 APRIL - 30 JUN 2012,,,,,,,

OVERSEAS TRAVEL ,,,,,,,

Minister,,Destination  ,Dates ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ",Total cost including travel and accommodation of Minister only
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Brussels,18-Apr-12,NATO Foreign and Defence Ministerials,Scheduled,N/A,£829
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Germany,2-3 May 12,Visit to Ministers in Berlin and British Forces Germany,Scheduled,N/A,£392
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,USA,19-21 May 12,NATO Summit in Chicago,Scheduled,N/A,"£3,939"
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,France,06-Jun-12,Normandy Remembrance Service,No. 32 Squadron,1,£160
"Secretary of State for Defence, Rt Hon Philip Hammond MP ",,Saudi Arabia,19-Jun-12,Offer HMG condolences in respect of ,Scheduled,1,5000 contribution to cost of flight to the Royal Household
"Minister of State Armed forces, Nick Harvey MP",,Singapore ,24-Jul-11,Crown Prince Nayef,,N/A,"£4,223"
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",,Seoul ,23-27 Jun 12,Attending the  IISS 11th Asia ,,N/A,"£3,816"
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP -",,Paris ,30-May-12,Commemorations for Bir Hakeim,,N/A,£625.52
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP -",,Normandy ,06-Jun-12,D-Day Commemorations,,1,£160
"Minister for International Security Strategy, Gerald Howarth MP",,Kuala Lumpar ,14-19 Apr 12,Defence Services Asia 20,,N/A,"£4,721.69"
"Minister for International Security Strategy, Gerald Howarth MP",,NORDIC Defence Industrial Seminar  ,02-May-12,Speech in Copenhagen,,N/A,£351.05
"Minister for International Security Strategy, Gerald Howarth MP",,Milan ,11-May-12,Finmeccanica Management Convention,,N/A,£301.43
"Minister for International Security Strategy, Gerald Howarth MP",,Washington,24-27 June 12,Bilaterals and NATO visit,,N/A,"£2,448.59"
"Under-Secretary of State and the Lords spokesman on Defence (USofS), Lord Astor of Hever DL",,None ,,,,,
