Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",02-Oct-11,Tony Gallagher (Telegraph),Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",09-Oct,Curry Life Chef Awards,Speaking engagement and dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",11-Oct-11,Daily Mail,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",11-Oct-11,Royal Opera House,Reception
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",18-Oct-11,Unilever,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",19-Oct-11,Probus BNW,Speaking engagement and dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",08-Nov-11,British Museum,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",14-Nov-11,CBI,Dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",28-Nov-12,Telegraph,Lunch
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",04-Dec-11,Bangladeshi Caterers Association,Speaking engagement and dinner
"Rt Hon Eric Pickles MP, Secretary of State for Communities and Local Government",05-Dec-11,Indian Journalist Association,Speaking engagement and dinner
"Rt Hon Greg Clark MP, Minister of State (Decentralisation and Cities)",21-Nov-11,Confederation of British Industry,Dinner
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",12-Oct-11,Thames Reach,Lunch
"Rt Hon Grant Shapps MP, Minister of State (Housing and Local Government)",19-Oct-11,Jon Land (24Dash),Lunch
"Andrew Stunell MP, Parliamentary Under-Secretary of State",11-Nov-11,National Home Improvement Council, Lunch
"Bob Neill MP, Parliamentary Under-Secretary of State",13-Dec-11,Kilbride Group,Lunch
"Baroness Hanham CBE, Parliamentary Under-Secretary of State",Nil Return,Nil Return,Nil Return


"‘Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.’ ",,,
