Post Date,Publishable label,Amount,Publishable label is provided by Bank and is industry standard.  May not however give true indication of purchase - additional comment provided as necessary
01/04/2011,Business Services - Default,£858.00,
01/04/2011,Catalog Merchant,£808.60,
01/04/2011,Computer Program/Sys Design,£800.83,
01/04/2011,Computer Program/Sys Design,£963.64,
01/04/2011,Computer Program/Sys Design,£747.81,
01/04/2011,Computer Program/Sys Design,£800.83,
01/04/2011,Computer Program/Sys Design,£790.34,
01/04/2011,Computer Software Stores,"£1,206.00",
01/04/2011,Hotels/Motels/Resorts,£934.29,
01/04/2011,Hotels/Motels/Resorts,"£1,015.41",
01/04/2011,Hotels/Motels/Resorts,"£2,449.88",
01/04/2011,Hotels/Motels/Resorts,£676.12,
01/04/2011,Hotels/Motels/Resorts,£898.88,
01/04/2011,Hotels/Motels/Resorts,£933.72,
01/04/2011,Hotels/Motels/Resorts,"£2,952.09",
01/04/2011,Hotels/Motels/Resorts,"£2,858.19",
01/04/2011,Hotels/Motels/Resorts,£898.88,
01/04/2011,Hotels/Motels/Resorts,"£1,266.50",
01/04/2011,Hotels/Motels/Resorts,"£6,728.17",
01/04/2011,Member Organizations - Def,"£1,044.00",
01/04/2011,Travel - Air/Rail/Road,£652.83,
01/04/2011,Travel - Air/Rail/Road,£770.17,
01/04/2011,Travel - Air/Rail/Road,"£1,064.86",
01/04/2011,Travel - Air/Rail/Road,£616.20,
01/04/2011,Travel - Air/Rail/Road,£749.22,
01/04/2011,Travel - Air/Rail/Road,"£3,839.72",
01/04/2011,Travel - Air/Rail/Road,£757.10,
01/04/2011,Travel - Air/Rail/Road,£757.10,
01/04/2011,Travel - Air/Rail/Road,"£1,090.13",
01/04/2011,Travel - Air/Rail/Road,£897.00,
01/04/2011,Travel - Air/Rail/Road,£616.23,
01/04/2011,Travel - Air/Rail/Road,£858.03,
01/04/2011,Travel - Air/Rail/Road,"£1,378.53",
01/04/2011,Travel - Air/Rail/Road,"£1,378.53",
01/04/2011,Travel - Air/Rail/Road,"£2,845.13",
01/04/2011,Travel - Air/Rail/Road,"£3,089.60",
01/04/2011,Travel - Air/Rail/Road,"£3,089.60",
01/04/2011,Travel - Air/Rail/Road,"£2,617.13",
01/04/2011,Travel - Air/Rail/Road,"£2,617.13",
01/04/2011,Travel - Air/Rail/Road,£760.30,
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£6,787.33",
01/04/2011,Travel - Air/Rail/Road,"-£4,953.33",
01/04/2011,Travel - Air/Rail/Road,"£4,954.03",
01/04/2011,Travel - Air/Rail/Road,"£4,954.03",
01/04/2011,Travel - Air/Rail/Road,"£4,954.03",
01/04/2011,Travel - Air/Rail/Road,"-£4,953.33",
01/04/2011,Travel - Air/Rail/Road,"-£4,953.33",
01/04/2011,Travel - Air/Rail/Road,"£4,157.03",
01/04/2011,Travel - Air/Rail/Road,"£1,001.03",
01/04/2011,Travel - Air/Rail/Road,"£1,471.46",
01/04/2011,Travel - Air/Rail/Road,£981.73,
01/04/2011,Travel - Air/Rail/Road,£594.70,
01/04/2011,Travel - Air/Rail/Road,£594.70,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,"£6,585.03",
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£594.20,
01/04/2011,Travel - Air/Rail/Road,£907.13,
01/04/2011,Travel - Air/Rail/Road,£535.10,
01/04/2011,Travel - Air/Rail/Road,£566.10,
01/04/2011,Travel - Air/Rail/Road,£593.11,
01/04/2011,Travel - Air/Rail/Road,£595.28,
01/04/2011,Travel - Air/Rail/Road,"£2,637.25",
01/04/2011,Travel - Air/Rail/Road,"£1,230.00",
02/04/2011,Travel - Air/Rail/Road,"£1,773.04",
02/04/2011,Travel - Air/Rail/Road,£768.72,
02/04/2011,Travel - Air/Rail/Road,£768.72,
02/04/2011,Travel - Air/Rail/Road,£958.72,
02/04/2011,Travel - Air/Rail/Road,"£4,416.26",
02/04/2011,Travel - Air/Rail/Road,"£1,016.43",
03/04/2011,Travel - Air/Rail/Road,£632.80,
03/04/2011,Travel - Air/Rail/Road,"£1,078.95",
03/04/2011,Travel - Air/Rail/Road,"£2,661.91",
03/04/2011,Travel - Air/Rail/Road,"£1,722.76",
03/04/2011,Travel - Air/Rail/Road,£583.04,
03/04/2011,Travel - Air/Rail/Road,£659.36,
03/04/2011,Travel - Air/Rail/Road,£709.30,
03/04/2011,Travel - Air/Rail/Road,"£1,131.70",
03/04/2011,Travel - Air/Rail/Road,£684.05,
03/04/2011,Travel - Air/Rail/Road,£796.20,
04/04/2011,Automobile Rental Agency,"£1,139.60",
04/04/2011,Business Services - Default,£804.00,
04/04/2011,Fast Food Restaurants,£977.83,
04/04/2011,Hotels/Motels/Resorts,"£6,307.20",
04/04/2011,Hotels/Motels/Resorts,"£1,686.10",
04/04/2011,Other Direct Marketers,£894.48,
04/04/2011,Professional Services - Def,"£1,147.77",
04/04/2011,Professional Services - Def,£615.00,
04/04/2011,Travel - Air/Rail/Road,"£1,192.13",
04/04/2011,Travel - Air/Rail/Road,"£1,239.44",
04/04/2011,Travel - Air/Rail/Road,"£1,790.70",
04/04/2011,Travel - Air/Rail/Road,£760.26,
04/04/2011,Travel - Air/Rail/Road,"£3,392.26",
04/04/2011,Travel - Air/Rail/Road,£514.40,
04/04/2011,Travel - Air/Rail/Road,£514.40,
04/04/2011,Travel - Air/Rail/Road,£630.40,
04/04/2011,Travel - Air/Rail/Road,£630.40,
04/04/2011,Travel - Air/Rail/Road,"£1,174.80",
04/04/2011,Travel - Air/Rail/Road,"£1,174.80",
04/04/2011,Travel - Air/Rail/Road,-£775.53,
04/04/2011,Travel - Air/Rail/Road,-£705.10,
04/04/2011,Travel - Air/Rail/Road,"-£1,034.60",
04/04/2011,Travel - Air/Rail/Road,"£3,851.20",
04/04/2011,Travel - Air/Rail/Road,"£2,107.13",
04/04/2011,Travel - Air/Rail/Road,"£5,105.73",
04/04/2011,Travel - Air/Rail/Road,£665.30,
04/04/2011,Travel - Air/Rail/Road,"£1,003.90",
04/04/2011,Travel - Air/Rail/Road,"£6,585.03",
04/04/2011,Travel - Air/Rail/Road,£550.03,
04/04/2011,Travel - Air/Rail/Road,"£2,437.70",
04/04/2011,Travel - Air/Rail/Road,"£2,437.70",
04/04/2011,Travel - Air/Rail/Road,"£1,789.13",
04/04/2011,Travel - Air/Rail/Road,"£2,578.30",
04/04/2011,Travel - Air/Rail/Road,£520.56,
04/04/2011,Travel - Air/Rail/Road,"£1,616.90",
04/04/2011,Travel - Air/Rail/Road,£902.90,
04/04/2011,Travel - Air/Rail/Road,£948.20,
05/04/2011,Combination Catalog & Retail,£505.80,
05/04/2011,Hotels/Motels/Resorts,"£3,264.32",
05/04/2011,Hotels/Motels/Resorts,£780.43,
05/04/2011,Stationery/Office Supplies,£559.80,
05/04/2011,Travel - Air/Rail/Road,£760.05,
05/04/2011,Travel - Air/Rail/Road,"£1,115.55",
05/04/2011,Travel - Air/Rail/Road,£695.23,
05/04/2011,Travel - Air/Rail/Road,£695.23,
05/04/2011,Travel - Air/Rail/Road,£824.73,
05/04/2011,Travel - Air/Rail/Road,"£1,359.58",
05/04/2011,Travel - Air/Rail/Road,"£1,359.58",
05/04/2011,Travel - Air/Rail/Road,"£1,599.58",
05/04/2011,Travel - Air/Rail/Road,"£3,403.54",
05/04/2011,Travel - Air/Rail/Road,"£3,603.13",
05/04/2011,Travel - Air/Rail/Road,£958.72,
