Date of meeting,Minister,Name of organisation,Purpose of meeting
May-11,Attorney General Dominic Grieve QC MP,"Law Faculty, Cambridge University",To discuss economic crime
May-11,Attorney General Dominic Grieve QC MP,Barnardos ,To discuss children in the Criminal Justice System.
May-11,Attorney General Dominic Grieve QC MP,"Tim Montgomerie, Conservative Home
",General discussion
May-11,Attorney General Dominic Grieve QC MP,Bar Standards Board ,General discussion 
Jun-11,Attorney General Dominic Grieve QC MP,Centre for Social Justice,To discuss the Criminal Justice Slavery review 
,,,
May-11,"
Solicitor General Edward Garnier QC MP
","Law Faculty, Cambridge University",To discuss economic crime
