Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Contract Management,"Legal, People & Communications Group - Organisation Design",STANTON MARRIS LLP,1005428,6462.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Contributions (Programme),Business Group - Information Economy,CABINET OFFICE,1007760,312826
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,DIVERSE STRATEGIES LTD,1007410,36993.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Contributions (Programme),Business Group - Advanced Manufacturing Industries,DIVERSE STRATEGIES LTD,1007413,36993.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1007608,-87109.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1007608,2234.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1007608,84875
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Contributions (Programme),Business Group - Economic Development Directorate,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,1007608,87109.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Copyright Fees,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",ENERGY DATA SERVICES LTD T/A PRECISE,1007309,1130.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Corporate Management Consultancy,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",COMPASS ROSE & CO,1006812,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Corporate Management Consultancy,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",COMPASS ROSE & CO,1006812,2650
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007682,535.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007690,541.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007692,2789.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007692,4115.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007691,5524
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007689,6905
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007684,6965
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007686,7045
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1007688,7045
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Corporate Management Consultancy,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",KEMPSHOTT RESEARCH MANAGEMENT,1006002,1725.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Corporate Management Consultancy,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",SIR DONALD CURRY,1007474,5634
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Corporate Management Consultancy,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",SIR DONALD CURRY,1007476,5634
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007206,-6364.3
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007207,-4344.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006669,-3542
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006634,-1966.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006670,-1161.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006664,-1046.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006664,-996
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007602,-900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006659,-897
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006642,-527.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006658,-523.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006663,-517.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006666,-414
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006637,-391
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006666,-72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006663,517.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006642,527.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006659,897
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007602,900
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006664,966
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006664,996
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006670,1161.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006634,1966.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1006669,3542
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007207,4269.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",BEACHCROFT LLP,1007206,6067.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",SIMPSON & MARWICK SOLICITORS,1006313,-1363
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",SIMPSON & MARWICK SOLICITORS,1006313,544
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Counsels Expert Legal Opinion on Points of Law,"Legal, People & Communications Group - Legal",SIMPSON & MARWICK SOLICITORS,1006313,784
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT INTERNATIONAL UK,1007233,-21.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ABV SOLICITORS,1006076,566.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ABV SOLICITORS,1006554,3767.57
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CARPE-DATUM,1006077,3339.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CARPE-DATUM,1006964,4375.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",CHRISTOPHER CONVEY,1006958,1015.39
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1006553,1221.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FIONA JACKSON,1007889,1083.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",GLYN SAMUEL,1006079,540.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",GLYN SAMUEL,1006522,1151.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",GLYN SAMUEL,1005701,1339.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",HARRIS CUFFARO & NICHOLS,1005061,-5971.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",HARRIS CUFFARO & NICHOLS,1005061,5971.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",HARRIS CUFFARO & NICHOLS,1005061,7016.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",IAN DIXEY,1005694,3375.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",JAMES RAE,1005490,12055.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,1006591,1765.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",KJB Partners Ltd,1006549,2643.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MARK SEYMOUR,1005406,20997.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MARK WEEKES,1007882,3818.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MISS CARYS OWEN,1007884,5688.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",MR PAUL OZIN,1006678,1190.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",NATIONAL POLICING IMPROVEMENT AGENCY,1006558,584.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",NEIL CHAWLA,1006512,3826.85
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",RSM TENON LTD,1006552,49544.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",SERVOCA RESOURCING SOLUTIONS LTD,1006657,1233.37
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ZYLAB UK LTD,1006502,6373.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ZYLAB UK LTD,1006505,6373.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,Detached Duty Advances,Corporate Payments,"Personal Expense, Name Witheld",10272551,670
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,COI COMMUNICATIONS,1006501,3204.23
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,COI COMMUNICATIONS,1006501,3420.43
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,COI COMMUNICATIONS,1005827,6192.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Economic Consultancy & Research,Fair Markets Group Summary - Employment Relations,NATIONAL CENTRE FOR SOCIAL RESEARCH(NATCEN),1006410,33939.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Economic Consultancy & Research,Business Group - Economic Development Directorate,OFFICE FOR NATIONAL STATISTICS,1006411,525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Economic Consultancy & Research,Fair Markets Group Summary - Europe and World Trade Directorates,STICHTING IIDE (INSTITUTE FOR INTERNATIONAL AND DEVELOPMENT ECONOMICS),1007334,30000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Economic Consultancy & Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",THE QUEENS UNIVERSITY OF BELFAST,1007412,6292.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Economic Consultancy & Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",THE QUEENS UNIVERSITY OF BELFAST,1007412,6375
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Economic Consultancy & Research,Office of Manpower Economics - Office of Manpower Economics,TOWERS WATSON LTD,1006431,935
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1007721,-5644.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1007721,3465.33
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1006590,3644
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1007721,5644.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Economic Consultancy & Research,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1007721,5644.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Economic Consultancy & Research,Fair Markets Group Summary - Consumer and Competition Policy,UNIVERSITY OF SHEFFIELD,1007335,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Economic Consultancy & Research,Business Group - Information Economy,UNIVERSITY OF STRATHCLYDE,1005792,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Economic Consultancy and Research,Business Group - Advanced Manufacturing Industries,ARTHUR D LITTLE LTD,1007015,25000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Innovation",COMPANY REPORTING (BESPOKE DATABASES) LTD,1006336,100000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",SQW LTD T/A SQW CONSULTING,1007230,9750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",SQW LTD T/A SQW CONSULTING,1007232,25702.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",THE PH GROUP LTD,1006691,6750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1007021,-166.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006732,1514.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006727,1891.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006731,4573.35
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1007021,7609.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006729,12056.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006728,35773.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1006730,43664.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1007019,49003.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,E-ON ENERGY LTD,1006981,1115.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,NATIONAL MEASUREMENT OFFICE,1006827,2245.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Electricity,Finance & Commercial Group - Information and Workplace Strategies,STOCKTON BOROUGH COUNCIL,1006479,874.26
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1005968,-495.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,EDF ENERGY plc,1005968,-495.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),1006102,-828.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),1006096,660.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),1006103,692.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),1006102,828.89
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA),1006102,828.9
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,NB REAL ESTATE LTD,1007138,-236.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,SCOTTISH POWER UK plc,1007146,2935.09
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,SSE ENERGY SUPPLY LTD T/A SOUTHERN ELECTRIC,1005773,741.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Electricity (Programme),Finance & Commercial Group - Information and Workplace Strategies,SSE ENERGY SUPPLY LTD T/A SOUTHERN ELECTRIC,1007164,1453.24
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Enforcement,Fair Markets Group Summary - Employment Relations,HMRC,1005943,575127
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Entertaining Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,BIOINDUSTRY ASSOCIATION,1006645,520
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Entertaining Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005274,-1196.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Entertaining Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),10272138,-613.76
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/09/2010,Entertaining Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1004105,580.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Entertaining Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,FOREIGN AND COMMONWEALTH OFFICE (FCO),1005274,1196.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,Entertaining UK,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,THE TRAVELLERS CLUB,1007948,656.36
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,External Legal Advice and Services,Finance & Commercial Group - Information and Workplace Strategies,KING STURGE LLP,1006838,1520
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,External Legal Advice and Services,Business Group - Advanced Manufacturing Industries,NIEDERER KRAFT & FREY AG,1007158,14601.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,External Legal Advice and Services,Business Group - Advanced Manufacturing Industries,SEMPLE FRASER LLP,1007136,7050
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,External Training,Universities and Skills Group - USG Admin,ACKNOWLEDGE LTD,1006640,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2010,External Training,"Legal, People & Communications Group - Legal",ACT NOW TRAINING LTD,1006091,545
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,External Training,Finance & Commercial Group - Finance Group,BPP PROFESSIONAL EDUCATION LTD,1006118,895.32
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,External Training,Universities and Skills Group - USG Admin,BPP PROFESSIONAL EDUCATION LTD,1006546,1127.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,External Training,SCIENCE & RESEARCH GROUP - UK Space Agency,COI COMMUNICATIONS,1005854,3040
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Legal, People & Communications Group - Communications Directorate",EDUSERV TECHNOLOGIES LTD,1006058,1950
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,External Training,Universities and Skills Group - USG Admin,GLOBAL ECONOMICS LTD,1006726,3250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,External Training,Strategic Policy Analysis - Strategic Policy Analysis,HM TREASURY,1006372,935
