Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,NRA LTD,1007152,36718.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,P HARRISON TRUST & J HARRISON TRUST,1007596,3148.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,PEILL & COMPANY LTD,1007114,19093.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,PEMBERSTONE COMMERCIAL NORTH EAST LTD,1007121,21229.31
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,PRUDENTIAL PROPERTY INVESTMENT MANAGERS LTD,1007541,276125
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,SAVILLS COMMERCIAL LTD,1007150,79018.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,TEMPLEDOVE LTD,1007129,15319.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,THE ETHNIC MINORITY FOUNDATION,1007126,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,THE ETHNIC MINORITY FOUNDATION,1007126,57528.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Accommodation Rentals (Programme),Finance & Commercial Group - Information and Workplace Strategies,TRUSTEES OF THE GANNYMEAD PENSION SCHEME,1007160,20369.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,Accommodation Rentals (Programme),Fair Markets Group Summary - Europe Directorate,VINCENT AUSSILLOUX,1006220,3754.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007569,-66655.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007372,529
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007340,570.49
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007353,2291.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007371,2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007372,2621.2
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007342,2643
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007567,2890
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007354,2997
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1006366,4376
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007356,6752
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007658,9051.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1006365,36178.77
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1006364,43526.91
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007569,56728.47
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007569,66655.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1006365,96229
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1006365,217451
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Accounting Services,Finance & Commercial Group - Finance Group,ORACLE CORPORATION UK LTD,1005748,139602.48
