Department,Moratorium,Activity,Value (£),Basis for Exception,Date of Update
Department for Communities and Local Government - Central,Advertising and Marketing,Fire Kills public safety campaign,"850,000",Unequivocal evidence that campaigns deliver measurable benefits relating directly to immediate public health and safety,September


Ordnance Survey,Advertising and Marketing,Ordnance Survey marketing activity for online map shop,"340,600",Information is critical to the effective running of the Government,July
,,,,#NAME?,
QEII Conference,Advertising and Marketing, marketing activity ,"227,375",Information is critical to the effective running of the Government,June
,,,,#NAME?,
