Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Simon Fraser,Oct-10,Goldman Sachs,Economic Diplomacy
Simon Fraser,Oct-10,Lord Mayor,Commercial Diplomacy
Simon Fraser,Oct-10,Associated British Foods,Catch up meeting
Simon Fraser,Nov-10,Lord Mayor,Introductory meeting with new Lord Mayor
Simon Fraser,Dec-10,Franco-British Council,Franco-British Council 2010
Simon Fraser,Dec-10,Archbishop of Westminster,Papal Visit
Simon Fraser,Dec-10,BBC,BBC World Service
