Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",43,41.1,34,32.19,125,119.24,35,32.49,4,4,0,0,241,229,0,0,0,0,8,8,0,0,8,8,249,237,"$636,614.95","$3,584.11","$1,275.00","$1,704.32","$16,055.42","$47,141.49","$706,375.29",,"$60,810.82","$60,810.82","$767,186.11",
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,27,26,18,18,0,0,0,0,9,4,87,78,0,0,0,0,0,0,0,0,0,0,87,78,"$217,204.00","$7,841.00",,$621.00,"$44,377.00","$19,082.00","$289,125.00",,,$0.00,"$289,125.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,$0.00,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,6,4.8,0,0,0,0,0,0,6,4.8,276,249,"$731,755.79","$3,418.69",,$469.94,"$143,940.94","$63,837.79","$943,423.15","$7,643.94",,"$7,643.94","$951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",782,727.91,416,394.93,821,793.94,97,95.52,5,4.8,0,0,"2,121","2,017",101,101,0,0,34,34,0,0,135,135,"2,256","2,152","$4,663,708.91","$2,623.88",$0.00,"$12,379.42","$880,057.29","$350,706.32","$5,909,475.82","$379,846.96",,"$379,846.96","$6,289,322.78",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",360,328.5,622,587.6,1644,1598.5,253,246,53,50.6,102,82.4,"3,034","2,894",31,31,26,26,15,15,3,3,75,75,"3,109","2,969","$7,918,551.00","$474,737.00","$2,800.00","$26,633.00","$804,445.00","$706,590.00","$9,933,756.00","$762,565.97","$321,881.58","$1,084,447.55","$11,018,203.55",
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,12,11.53,33,32.61,17,16.1,1,1,0,0,70,67,1,1,0,0,0,0,0,0,1,1,71,68,"$211,555.06",$105.54,‘-438.00 ,,"$40,492.64","$17,150.46","$269,303.70","$1,768.12",,"$1,768.12","$271,071.82",Non-consolidated performance payments should be £-438
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",280,252,425,406,1066,1019,448,428,62,60,255,255,"2,536","2,420",12,12,0,0,5,5,2,2,19,19,"2,555","2,439","$6,659,954.36","$159,458.85","$112,693.31","$45,126.43","$1,692,610.78","$583,505.34","$9,253,349.07","$142,651.19","$221,117.71","$363,768.90","$9,617,117.97",
