Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",05 October 2011 – 05 October 2011,"Belgium, Brussels",Meetings with Commissioners on European issues,Eurostar,,93
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",28 October 2011  – 06 November 2011,"Singapore, Indonesia, Jakarta, Vietnam, Ho Chi Minh & Hanoi",Promote trade,Scheduled,,5688
"Minister of State (Universities and Science), Rt Hon David Willetts MP",29 October 2011  – 31 October 2011,"Israel, Tel Aviv",Meet Israeli Ministers and facilitate links between UK and Israeli high-tech businesses,Scheduled,,1559
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11 November 2011  – 17 November 2011,"Saudi Arabia, Riyadh, India, New Dehli & Bangalore","Strengthen governmental bilateral relations and develop and strengthen education collaboration, Innovation Roundtable and promote UK Innovation",Scheduled,,4823
"Minister of State (Universities and Science), Rt Hon David Willetts MP",05 December 2011  – 06 December 2011,"Belgium, Brussels","European Union, Competitiveness Council",Scheduled,,698
"Minister of State (Universities and Science), Rt Hon David Willetts MP",11 December 2011  – 17 December 2011,"USA, Washington, San Francisco and Los Angeles",Build collaboration with the US and UK in research and innovation and linking ideas on Higher Education,Scheduled,,4286
"Minister of State (Business and Enterprise), Mark Prisk MP",12 October 2011 – 12 October 2011,"Belgium, Brussels",Smart Regulation Seminar,Eurostar,,170
"Minister of State (Business and Enterprise), Mark Prisk MP",24 November 2011  – 26 November 2011,"Poland, Poznan",EU Cohesion Meeting,Scheduled,,186
"Minister of State (Business and Enterprise), Mark Prisk MP",15 December 2011  – 16 December 2011,"Belgium, Brussels",EU Cohesion Meeting,Eurostar,,191
"Minister of State (Further Education, Skills and Lifelong Learning), John Hayes MP",04 December 2011  – 08 December 2011,"China, Beijing, Tianjin & Hong Kong",Build relationships and follow up from agreeing the Memorandum of Understanding in July on areas that BIS could collaborate on with the Chinese Ministry of Education,Scheduled,,5355
"Minister of State (Trade and Investment), Lord Green",10 October 2011 – 14 October 2011,"USA, Chicago, London, New York",Meet key inward investors and promote the UK and deliver the keynote address at the British American Business Council annual dinner,Scheduled,,12709
"Minister of State (Trade and Investment), Lord Green",22 October 2011  – 05 November 2011,"Australia, Melbourne, Perth & Sydney, Japan, Tokyo, Osaka & Seoul, South Korea, Taipei & Taiwan",Commonwealth Business forum and visit other key markets in the region,Scheduled,,11358
"Minister of State (Trade and Investment), Lord Green",15 November 2011  – 18 November 2011,"Germany, Dusseldorf, Poland, Warsaw","Medica trade show and meet senior German Bankers and officials to discuss investing in the UK, meet key inward investors and promote the UK and meet Polish Ministers",Scheduled,,739
"Minister of State (Trade and Investment), Lord Green",28 November 2011  – 02 December 2011,"China, Beijing & Shanghai",Meet key inward investors and promote the UK and meet Chinese Ministers,Scheduled,,4942
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",20 October 2011 – 21 October 2011,"Poland, Krakow",European Ministers’ meeting on employment relations,Scheduled,,974
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",13 November 2011  – 15 November 2011,"Sweden, Stockholm",European Ministers’ meeting  on EU Growth,Scheduled,,533
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",17 November 2011  – 17 November 2011,"Belgium, Brussels","Meeting with a UK delegation, the European Commission and Members of the European Parliament  to discuss better regulation",Scheduled,,124
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",28 November 2011  – 28 November 2011,"Germany,  Berlin",Meetings with UK and German ministers on EU growth and employment relations,Scheduled,,167
"Parliamentary Under Secretary of State (Minister for Employment Relations, Consumer and Postal Affairs) Edward Davey MP",14 December 2011  – 15 December 2011,"Switzerland,  Geneva",European Trade Foreign Affairs Council meeting,Scheduled,,215
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",17 November 2011  – 18 November 2011,"France, Avignon",Cultural Summit and Avignon Forum,Eurostar,,635
"Parliamentary Under Secretary of State (Business, Innovation and Skills), Baroness Wilcox   ",04 December 2011  – 06 December 2011,"Belgium, Brussels",EU Competitiveness Council,Eurostar,,247
