Minister,Date of hospitality,Name of organisation ,Type of hospitality received
"Parliamentary Under-Secretary of State, Gerald Howarth MP",07-Oct-10,BAE Systems,Dinner
"Parliamentary Under-Secretary of State, Gerald Howarth MP",05-Nov-10,Agusta Westland,Rugby Tickets
"Parliamentary Under-Secretary of State, Peter Luff MP",05-Dec-10,Boeing,VIP guest to the Royal British Tattoo at Earls Court
"Parliamentary Under-Secretary of State, Peter Luff MP",13-Dec-10,EADS,Dinner
