MINISTERIAL INFORMATION 1 JULY – 30 SEPTEMBER 2011,,,

HOSPITALITY,,,

Minister,Date of hospitality,Name of organisation ,Type of hospitality received

"Secretary of State for Defence, Rt Hon Liam Fox MP",15-Sep-11,United Kingdom National Defence Association,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",19-Jul-11,The Soldiers Charity,Lunch
"Minister for Defence Personnel, Welfare and Veterans, Rt Hon Andrew Robathan MP",07-Sep-11,Winmark Europe,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",23-Aug-11,QinetiQ,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",24-Aug-11,QinetiQ,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",14-Sep-11,Rolls Royce,Dinner
"Minister of Defence Equipment, Support and Technology, Peter Luff MP",19-Sep-11,Selex,Dinner

Note: Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’,,,
"functions in the UK or abroad, hosted by overseas governments; minor refreshments at",,,
"meetings, receptions, conferences, and seminars; and offers of hospitality which were"
declined.
