Department,Organisation Name,Property,Basis for Exception, Value ,Approval month
Ministry of Defence,Defence Infrastructure Organisation,"Army Careers Information Office, Coventry",Front line recruiting services,"£50,000",Jun-12
Ministry of Defence,Defence Infrastructure Organisation,"Armed Forces Careers Office, Hull",Front line recruiting services,"£20,000",Jun-12
,,,,"£70,000",
