Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Nick Hillman,"01, Oct 2010",Cicero Consulting Limited,Lunch
Nick Hillman,"05, Nov 2010","Queen Mary, University of London",Lunch
Nick Hillman,"10, Dec 2010",BPP University College of Professional Studies,Lunch
Nick Hillman,"16, Dec 2010",Politeia,Lunch
Nick Hillman,"17, Dec 2010",Weber Shandwick,Lunch
Katie Waring,"17, Nov 2010",BBC,Lunch
