Minister,Date,Name of organisation,"Type of Hospitality Received  (if accompanied by spouse, partner, or other family member or friend insert an asterisk *)"
Attorney General Dominic Grieve QC MP,05-Mar,Liberty,Lunch
Attorney General Dominic Grieve QC MP,12-Mar,Telegraph,Lunch
Attorney General Dominic Grieve QC MP,22-Mar,Lord Lester,Lunch


Solicitor General Edward Garnier QC MP,17-Mar-12,Telegraph,Lunch
Solicitor General Edward Garnier QC MP,19-Mar-12,Financial Times,Lunch


"Hospitality does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. * indicates if accompanied by spouse/partner or other family member or friend.",,,
