Name of Special Adviser,Date of Hospitality,Name of Organisation,Type of hospitality received
Katie Waring,7-Sep,The Sun,Lunch
Giles Wilkes,1-Sep,KPMG,Dinner
Giles Wilkes,7-Sep,Goldman Sachs,Lunch
Nick Hillman,6-Aug,BPP Holdings,Lunch
Nick Hillman,10-Aug,Social Market Foundation,Lunch
Nick Hillman,16-Aug,Financial Times,Lunch
Nick Hillman,24-Sep,PA Consulting,Lunch
