SPECIAL ADVISERS INFORMATION 1 APR to 30 Jun 12,,,
"SPECIAL ADVISERS’ MEETINGS NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES",,,

Name,Month of Meeting ,Name of External Organisation ,Date Of Meeting
Hayden Allan ,None ,,
Sian Jones ,None ,,
