Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction number,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/02/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,5106155936,"3,240.00",
Communities & Local Government,DCLG,01/02/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,5106156073,"3,240.00",
Communities & Local Government,DCLG,01/02/2011,Agency Staff,Finance & Corporate Services,ALLEN LANE FINANCIAL RECRUITMENT,5106156075,"2,592.00",
Communities & Local Government,DCLG,01/02/2011,Agency Staff,Localism,LA INT COMPUTER CONSULTANTS LTD,5106156149,"2,576.64",
Communities & Local Government,DCLG,01/02/2011,Cap Grants to Local Authorities (DEL),Neighbourhoods,LONDON BOROUGH HACKNEY,2100199445,"4,766,628.00",Yes
Communities & Local Government,DCLG,01/02/2011,Conferences and Meeting Facilities,Neighbourhoods,WHITESPACE EXHIBITIONS LIMITED,5106156162,"2,185.50",
Communities & Local Government,DCLG,01/02/2011,Conferences and Meeting Facilities,Neighbourhoods,WHITESPACE EXHIBITIONS LIMITED,5106156167,"1,551.00",
Communities & Local Government,DCLG,01/02/2011,Current Grants to Non Profit Bodies,Localism,KHAYAAL THEATRE COMPANY,2100199650,"36,911.00",Yes
Communities & Local Government,DCLG,01/02/2011,Current Grants to Non Profit Bodies,Localism,LEAGUE OF BRITISH MUSLIMS UK,2100199648,"25,000.00",Yes
Communities & Local Government,DCLG,01/02/2011,Current Grants to Non Profit Bodies,Localism,ULFAH ARTS,2100199649,"5,000.00",Yes
Communities & Local Government,DCLG,01/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106155640,"35,366.00",
Communities & Local Government,DCLG,01/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106155881,"34,716.00",
Communities & Local Government,DCLG,01/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106155921,"35,947.54",
Communities & Local Government,DCLG,01/02/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,2100199639,"6,471,607.00",Yes
Communities & Local Government,DCLG,01/02/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,RDA -  YORKSHIRE FORWARD,2100199558,"1,045,647.63",Yes
Communities & Local Government,DCLG,01/02/2011,IT Maintenance,Localism,COMPUTACENTER (UK) LTD,5106156110,"2,391.48",
Communities & Local Government,DCLG,01/02/2011,IT Maintenance,Localism,COMPUTACENTER (UK) LTD,5106156112,"6,203.50",
Communities & Local Government,DCLG,01/02/2011,IT SUPPORT,Neighbourhoods,STERIA LIMITED,5106156151,"17,167.88",
Communities & Local Government,DCLG,01/02/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,5106156153,216.19,
Communities & Local Government,DCLG,01/02/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,5106156153,216.2,
Communities & Local Government,DCLG,01/02/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,5106156153,216.19,
Communities & Local Government,DCLG,01/02/2011,Rent,Localism,HUMBERSIDE FIRE BRIGADE,5106156087,"2,710.18",
Communities & Local Government,DCLG,01/02/2011,Rent,Neighbourhoods,SONY COMPUTER ENT EUROPE LTD,5106156141,"8,833.92",
Communities & Local Government,DCLG,01/02/2011,Research,Finance & Corporate Services,ORDNANCE SURVEY,5106156165,"37,543.50",
Communities & Local Government,DCLG,01/02/2011,Training,Finance & Corporate Services,HAWKSMERE LTD,5106156145,"2,491.46",
Communities & Local Government,DCLG,01/02/2011,Travel and Subsistence Account,Localism,HUMBERSIDE FIRE BRIGADE,5106156087,"1,787.45",
Communities & Local Government,DCLG,01/02/2011,Water,Localism,THAMES WATER UTILITIES,5106156084,691.7,
Communities & Local Government,DCLG,02/02/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,2100199735,"-2,125.75",
Communities & Local Government,DCLG,02/02/2011,Agency Staff,Neighbourhoods,CAPITA RESOURCING LTD,5106156183,"2,125.75",
Communities & Local Government,DCLG,02/02/2011,Courier Services,Neighbourhoods,DX NETWORK SERVICES LTD,5106156103,"5,334.27",
Communities & Local Government,DCLG,02/02/2011,Current (non AEF) Grants to Local Authorities,Localism,YORK CITY CNCL,2100199574,"10,082.00",Yes
Communities & Local Government,DCLG,02/02/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SWINDON BC,2100199715,"19,629.12",Yes
Communities & Local Government,DCLG,02/02/2011,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WEST SUSSEX CC,2100199716,"25,913.54",Yes
Communities & Local Government,DCLG,02/02/2011,Current Grants to Non Profit Bodies,Localism,YOUNG FOUNDATION,2100199732,"37,240.00",Yes
Communities & Local Government,DCLG,02/02/2011,Current Grants to Non Profit Bodies,Localism,YOUNG FOUNDATION,2300001745,"-37,240.00",Yes
Communities & Local Government,DCLG,02/02/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Finance & Corporate Services,NW DEVELOPMENT AGENCY,7500029291,"-14,730.00",Yes
Communities & Local Government,DCLG,02/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106156146,"30,956.38",
Communities & Local Government,DCLG,02/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106156147,"35,705.00",
Communities & Local Government,DCLG,02/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106156148,"35,805.00",
Communities & Local Government,DCLG,02/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106156150,"35,532.00",
Communities & Local Government,DCLG,02/02/2011,Fixed Maintenance,Localism,FLAGSHIP TRAINING LIMITED,5106156152,"34,920.00",
Communities & Local Government,DCLG,02/02/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,2100199655,"68,890,153.00",Yes
Communities & Local Government,DCLG,02/02/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,LONDON THAMES GATEWAY DEV CORP,2100199647,"7,500,000.00",Yes
Communities & Local Government,DCLG,02/02/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,TENANT SERVICES AUTHORIT Y,2100199656,"1,500,000.00",Yes
Communities & Local Government,DCLG,02/02/2011,Legal Fees,Localism,DENTON WILDE SAPTE LLP,5106156097,"1,358.95",
Communities & Local Government,DCLG,02/02/2011,Management Consultancy,Neighbourhoods,BUILDING RESEARCH ESTABLISHMENT,5106156245,"54,316.39",
Communities & Local Government,DCLG,02/02/2011,Office machinery consumables,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,5106156189,330.62,
Communities & Local Government,DCLG,02/02/2011,Office machinery consumables,Localism,BANNER BUSINESS SUPPLIES LTD,5106156034,678.02
Communities & Local Government,DCLG,02/02/2011,Office Supplies,Finance & Corporate Services,BANNER BUSINESS SUPPLIES LTD,5106156189,314.16
Communities & Local Government,DCLG,02/02/2011,Office Supplies,Localism,BANNER BUSINESS SUPPLIES LTD,5106156034,315.48
Communities & Local Government,DCLG,02/02/2011,Research,Finance & Corporate Services,BUSINESS INNOVATION & SKILLS,2100199746,"-175,000.00"
Communities & Local Government,DCLG,02/02/2011,Research,Finance & Corporate Services,BUSINESS INNOVATION & SKILLS,5106153834,"175,000.00"
Communities & Local Government,DCLG,02/02/2011,Research,Neighbourhoods,AEA TECHNOLOGY ENVIRONMENT,5106156219,"9,481.66"
Communities & Local Government,DCLG,02/02/2011,Services provided by other Govt Orgs,Neighbourhoods,ECONOMIC & SOCIAL RESEARCH CNCL,2100199694,"1,372,646.00"
Communities & Local Government,DCLG,02/02/2011,Software Licences,Finance & Corporate Services,BOTTOMLINE TECHNOLOGIES EUROPE,5106156253,"3,090.00"
Communities & Local Government,DCLG,02/02/2011,Telecoms equipment (non-capitalised),Localism,COMPUTACENTER (UK) LTD,5106155730,"1,435.24"
Communities & Local Government,DCLG,02/02/2011,Training,Finance & Corporate Services,BIRKBECK COLLEGE,5106156194,"2,502.00"
Communities & Local Government,DCLG,02/02/2011,Training,Localism,DCLG GOVERNMENT PROCUREMENT CARD,1000002900,538.92
Communities & Local Government,DCLG,02/02/2011,Training,Localism,DEVON FIRE AUTHORITY,2100199751,"-15,761.30"
Communities & Local Government,DCLG,02/02/2011,Training,Localism,DEVON FIRE AUTHORITY,5106149252,"15,761.30"
Communities & Local Government,DCLG,02/02/2011,Training,Localism,WEST MIDS FIRE & RESCUE SERVICE,2100199748,"-9,433.88"
Communities & Local Government,DCLG,02/02/2011,Training,Localism,WEST MIDS FIRE & RESCUE SERVICE,5106147466,"9,433.88"
Communities & Local Government,DCLG,02/02/2011,Training,Neighbourhoods,GB DIRECT LTD,5106156091,575
Communities & Local Government,DCLG,02/02/2011,Training,Neighbourhoods,NATIONAL SCHOOL OF GOVERNMENT,5106155852,"1,550.00"
Communities & Local Government,DCLG,02/02/2011,Web Services,Finance & Corporate Services,RED NOMAD LIMITED,5106155868,559.2
Communities & Local Government,DCLG,03/02/2011,Accommodation Service Charges,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156190,"82,779.90"
Communities & Local Government,DCLG,03/02/2011,Accommodation Service Charges,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156258,"14,621.84"
Communities & Local Government,DCLG,03/02/2011,Accommodation Service Charges,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156310,"1,383.21"
Communities & Local Government,DCLG,03/02/2011,Accommodation Service Charges,Neighbourhoods,BRUNTWOOD ESTATES BETA PORTFOLIO LT,5106156255,"3,191.99"
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Finance & Corporate Services,MICHAEL PAGE INTERNATIONAL,5106156100,"1,929.48"
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106156272,450.06
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,5106156274,450.06
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Localism,CAPITA RESOURCING LTD,5106156222,"2,462.40"
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Localism,PARITY RESOURCES LTD(USE438329),5106156284,"5,988.00"
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Localism,REED SPECIALIST RECRUITMENT LTD,5106156264,"1,451.16"
Communities & Local Government,DCLG,03/02/2011,Agency Staff,Localism,REED SPECIALIST RECRUITMENT LTD,5106156282,"1,813.96"
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,2.39
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,115
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,128.61
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,34.5
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,0.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,185.14
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,57.12
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,69.02
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,87.67
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,0.26
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.29
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,123.83
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,30.58
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.63
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,93.59
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,2.75
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Finance & Corporate Services,ORANGE (AIRTIME/LINE RENTAL),2100199756,23.12
