Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",33,30,29,28,17,17,0,0,0,0,9,4,88,79,1,1,0,0,0,0,0,0,1,1,89,80,"223,712.00","10,568.00",,783,"44,659.00","20,140.00","299,862.00",,,0,"299,862.00",
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.21,179,162.91,43,42.31,5,4.4,0,0,270,245,0,0,0,0,0,0,0,0,0,0,270,245,"731,755.79","3,418.69",,469.94,"143,940.94","63,837.79","943,423.15","7,643.94",,"7,643.94","951,067.09",
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",783,728.95,416,394.59,812,785.65,96,94.65,5,4.8,0,0,"2,112","2,009",95,95,0,0,32,32,0,0,127,127,"2,239","2,136","4,675,042.35","4,599.48",0,"21,745.56","887,561.73","355,841.83","5,944,790.95","600,012.25",,"600,012.25","6,544,803.20",
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.4,9,8.1,5,5,0,0,27,26,0,0,0,0,7,1.2,0,0,7,1.2,34,27,"89,438.62",,,,"17,903.84","7,818.43","115,160.89","11,139.50",,"11,139.50","126,300.39",
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",365,334.7,623,590.3,1649,1608.4,253,245.6,52,49.6,103,83.4,"3,045","2,912",28,28,27,27,11,11,3,3,69,69,"3,114","2,981","7,919,377.73","477,925.22",,"29,545.27","795,371.34","708,134.13","9,930,353.69","387,274.47","454,855.06","842,129.53","10,772,483.22",
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",5,5,10,9.53,34,33.61,17,16.1,1,1,0,0,67,65,1,1,0,0,0,0,0,0,1,1,68,66,"202,895.85",179.02,,,"40,635.48","17,106.03","260,816.38","1,041.85","9,973.00","11,014.85","271,831.23",
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",260,233,421,401,1060,1014,439,419,62,60,262,262,"2,504","2,389",13,13,0,0,5,5,2,2,20,20,"2,524","2,409","6,650,026.43","143,818.46","108,662.98","30,074.76","1,770,880.84","582,974.33","9,286,437.80","125,480.34","87,113.60","212,593.94","9,499,031.74",
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,0,0,4,3.5,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,"14,673.86",0,0,"1,147.02","2,856.31","1,303.88","19,981.07",,,0,"19,981.07",
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,0,0,..,..,,,,,,,0,,,0,..,..
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",131,124.4,259,249.3,922,903.9,330,314.2,34,32,29,29,"1,705","1,653",3,3,1,1,2,2,0,0,6,6,"1,711","1,659","4,829,613.00","161,358.00",,"127,870.00","1,251,345.00","428,425.00","6,798,611.00","40,051.00",,"40,051.00","6,838,662.00",Non-payroll cost is sum of invoices PAID in month
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",159,152.93,512,494.57,610,594.39,175,174.16,49,48.37,24,22.14,"1,529","1,487",15,15,0,0,117,117,0,0,132,132,"1,661","1,619","5,067,763.97","131,181.15","2,406.00",810.2,"1,012,611.83","845,417.01","7,060,190.16","1,092,776.70",,"1,092,776.70","8,152,966.86",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1336,1229.849,561,531.23,87,84.5333,9,9,8,8,8,1.06,"2,009","1,864",89,89,0,0,44,44,0,0,133,133,"2,142","1,997","3,440,960.17","84,238.17","692,932.77","167,755.55","279,636.23","364,169.53","5,029,692.42","366,535.00","224,165.00","590,700.00","5,620,392.42",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",0,0,29,29,15,15,65,65,5,5,0,0,114,114,20,20,65,65,0,0,0,0,85,85,199,199,"425,006.88","38,335.28",,,"104,335.55","45,696.81","613,374.52","496,011.09",,"496,011.09","1,109,385.61",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",20,19,13,13,48,48,14,14,6,6,0,0,101,100,0,0,0,0,0,0,0,0,0,0,101,100,"311,412.95",,,,"61,407.18","26,948.09","399,768.22",,,0,"399,768.22",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",247,216.26,190,182.16,223,216.94,221,207.61,26,26,0,0,907,849,12,12,0,0,20,20,0,0,32,32,939,881,"2,108,346.00","76,592.00","7,000.00","102,026.00","433,000.00","177,605.00","2,904,569.00",,"3,846.30","3,846.30","2,908,415.30",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,11,10.5,14,13.2,3,3,0,0,34,33,0,0,0,0,1,1,0,0,1,1,35,34,"99,715.00",,,,"20,118.00","8,907.00","128,740.00","4,500.00",,"4,500.00","133,240.00","Salaries include all TUPE'd staff costs for December, but does not include reconciliation of costs from former employers paid in lieu of TUPE which will appear in the January payroll costs"
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",68,63.25,70,66.28,290,286.16,104,102.79,10,9.6,14,14,556,542,4,4,0,0,339,339,0,0,343,343,899,885,"1,727,360.00",0,"61,643.00","23,949.00","265,124.00","156,908.00","2,234,984.00","1,185,300.00",0,"1,185,300.00","3,420,284.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,..
Ordance Survey,Non-Ministerial Department,"Department for Business, Innovation & Skills",38,32,528,514,407,396,110,108,6,6,3,1,"1,092","1,057",50,50,1,1,80,80,1,0.64,132,131.64,"1,224","1,189","2,796,887.42","66,893.02","1,450.00","31,314.46","548,586.23","228,145.52","3,673,276.65","765,481.03","8,300.00","773,781.03","4,447,057.68",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,4,3.1,1879,1807.3,"1,883","1,810",8,8,16,16,36,36,0,0,60,60,"1,943","1,870","4,761,620.00","330,216.00","70,546.00","127,663.00","989,846.00","418,300.00","6,698,191.00","465,054.00","8,488.00","473,542.00","7,171,733.00",
