"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH PROPRIETORS, EDITORS AND SENIOR MEDIA EXECUTIVES)",,,
Permanent Secretary,Date,Name of Organisation,Purpose of meeting
Sir Bob Kerslake,Apr-12,"Berkeley Homes, Affinity Sutton, London Thames Gateway Urban Development Corporation, Barratt Developments",To discuss housing issues
Sir Bob Kerslake,Apr-12,Berkeley Homes,To discuss housing issues
Sir Bob Kerslake,Apr-12,Capita,To discuss general issues
Sir Bob Kerslake,Apr-12,Representatives from Local Economic Partnerships,To discuss local economic growth issues. 
Sir Bob Kerslake,Apr-12,Association of County Council Chief Executives,Speaking event
Sir Bob Kerslake,May-12,Liverpool City Region Local Enterprise Partnership's,To discuss local economic issues
Sir Bob Kerslake,May-12,Thames Valley Local Economic Partnership,To discuss local economic issues
Sir Bob Kerslake,May-12,Audit Commission,General discussion
Sir Bob Kerslake,Jun-12,Jane Brown Coaching,To discuss public sector leadership
Sir Bob Kerslake,Jun-12,Lloyds Banking Group,To discuss housing finance
Sir Bob Kerslake,Jun-12,Leeds City Council,To discuss local economic issues
Sir Bob Kerslake,Jun-12,Affinity Sutton and L&Q,To discuss housing issues
Sir Bob Kerslake,Jun-12,Chartered Institute for Public Finance and Accountancy,To discuss local government issues


"“Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of Parliament, devolved or foreign governments”"
