Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount 
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,COMPUTACENTER plc,1012831,3091.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Universities and Skills Group - Further Education & Skills Investment,SKILLS FUNDING AGENCY,1012835,348488000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE ROYAL INSTITUTION OF GREAT BRITAIN,1012902,3941.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",BROOK STREET (UK) LTD,1012970,683.06
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1012972,727.16
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",FABER & CO,1012974,844.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,ICT Infrastructure Specific Service,Finance & Commercial Group - Information and Workplace Strategies,EDUSERV TECHNOLOGIES LTD,1013096,13510.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",TIM CLARK,1013113,4882.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Employment Relations,ACAS,1013117,3580000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,MET OFFICE,1013119,10000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Economic Consultancy & Research,Fair Markets Group Summary - Consumer and Competition Policy,YOUGOV PLC,1013129,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Economic Consultancy & Research,Fair Markets Group Summary - Consumer and Competition Policy,YOUGOV PLC,1013129,5000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Courier Services,Finance & Commercial Group - Information and Workplace Strategies,TNT UK LTD,1013136,752.07
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Payments to Expotel for Hotel Costs Contract,Finance & Commercial Group - Finance Group,EXPOTEL HOTEL RESERVATIONS LTD,1013141,13153.84
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Secondees (not paid directly),Business Group - Advanced Manufacturing Industries,INDEPENDENT POWER CORPORATION plc,1013144,2937.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,18282.73
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,21919.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,35369.27
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,59739.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,68480.69
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,335485.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,606225.45
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,Universities and Skills Group - Learners,STUDENT LOANS  CO LTD (INVEST TO SAVE),1013145,4489895.66
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,PPM (Project & Programme Management) Training,Finance & Commercial Group - Information and Workplace Strategies,AIMS4CHANGE LTD,1013147,1195
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Reprographic Equipment,Fair Markets Group Summary - ECO,SIEMENS FINANCIAL SERVICES LTD,1013148,1130
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Technical Advice,Shareholder Executive - Shareholder Executive,RAYMOND PYLE,1013149,674.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Technical Advice,Shareholder Executive - Shareholder Executive,RAYMOND PYLE,1013149,7589.72
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Occupational Health Service,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",MEDIGOLD HEALTH CONSULTANCY LTD,1013150,1800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Other Accommodation Charges (Programme),Finance & Commercial Group - Information and Workplace Strategies,DTZ DEBENHAM TIE LEUNG,1013154,14365
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Maintenance (Programme),Finance & Commercial Group - Information and Workplace Strategies,FIBRE ENVIRONMENTAL SERVICES LTD,1013156,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,ACKNOWLEDGE LTD,1013157,4130
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Secondees (not paid directly),Shareholder Executive - Shareholder Executive,CREDIT SUISSE SECURITIES (EUROPE) LTD,1013160,8621.53
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Grant in Aid - Current -Other,"Innovation, Enterprise & Better Regulation Executive - Innovation",THE TECHNOLOGY STRATEGY BOARD,1013161,21000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Hire of Agency Staff (Professional/Management),Finance & Commercial Group - Finance Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1013164,1983.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Consultancy Advice Provided From Third Parties,Fair Markets Group Summary - Employment Relations,HMRC,1013167,22866.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,Economic Consultancy and Research,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",SQW LTD T/A SQW CONSULTING,1013171,11979.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,EU Division Payments,Universities and Skills Group - Further Education & Skills Investment,DEPARTMENT FOR WORK AND PENSIONS (DWP),1013172,393708.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,International Subscriptions,Universities and Skills Group - Further Education & Skills Investment,DEPARTMENT FOR WORK AND PENSIONS (DWP),1013172,4046.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,EU Division Payments,Universities and Skills Group - Further Education & Skills Investment,DEPARTMENT FOR WORK AND PENSIONS (DWP),1013172,925542.86
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,EU Division Payments,Universities and Skills Group - Further Education & Skills Investment,DEPARTMENT FOR WORK AND PENSIONS (DWP),1013173,492232.6
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/12/2010,EU Division Payments,Universities and Skills Group - Further Education & Skills Investment,DEPARTMENT FOR WORK AND PENSIONS (DWP),1013173,4441561.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Contract Cleaning,Finance & Commercial Group - Information and Workplace Strategies,GBM SERVICES LTD,1008084,2102.41
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,CLIONADH RALEIGH,1012852,5160
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Criminal Law and Prosecution Work,"Legal, People & Communications Group - Legal",ALEXANDER MUNRO,1013022,846
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Technical Advice,Fair Markets Group Summary - Employment Relations,WEIGHTMANS,1013158,750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,InfoSource Desktop Information and Research Services,Finance & Commercial Group - Information and Workplace Strategies,THOMSON REUTERS (LEGAL) LTD T/A SWEET AND MAXWELL,1013159,8525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1013166,2949.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,GLOBAL CLIMATE ADAPTATION PARTNERSHIP,1013174,-2500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,GLOBAL CLIMATE ADAPTATION PARTNERSHIP,1013174,2937.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Grants - Non Statutory - Current - Other,Universities and Skills Group - Learners,FAMILY ACTION,1013176,6000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,External Training,Business Group - Business Competitiveness - Secretariat/GRU,NATIONAL SCHOOL OF GOVERNMENT (CMPS),1013178,8850
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,ICT Business Specific Application Services (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1013184,6858
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013187,4235.88
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Other Accommodation Charges,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013188,17000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Programme and Projects Service,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013189,6235.02
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,ICT Maintenance & Upkeep (PFI),Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013190,3236.04
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Senior Civil Service Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",INDUSTRY AND PARLIAMENT TRUST,1013201,1695
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Senior Civil Service Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",INDUSTRY AND PARLIAMENT TRUST,1013202,1695
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Outsourced Technical Support (Programme),SCIENCE & RESEARCH GROUP - UK Space Agency,CLAIR PASSELLE,1013208,1500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Audit Fees (Programme),Fair Markets Group Summary - Consumer and Competition Policy,THE STATIONERY OFFICE LTD,1013209,1890.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Air Fares  - Overseas (Programme),SCIENCE & RESEARCH GROUP - RESEARCH BASE,"Personal Expense, Name Witheld",10274481,1000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/12/2010,Hotels Overseas,Business Group - Information Economy,"Personal Expense, Name Witheld",10274518,754.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Cash Expenditure during the Year - Other Programme Provisions,Fair Markets Group Summary - Employment Relations,"Payment under the Icelandic Trawlerman Compensation Scheme, name witheld",1011892,8089.92
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Accommodation Rentals,Finance & Commercial Group - Information and Workplace Strategies,CB RICHARD ELLIS,1012842,881250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Interpreters,Business Group - Information Economy,SIGN SOLUTIONS (SIGN LANGUAGE INTERPRETING AGENCY) LTD,1013006,500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Water,Finance & Commercial Group - Information and Workplace Strategies,THAMES WATER UTILITIES LTD,1013077,2191.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,HAYS SPECIALIST RECRUITMENT LTD,1013081,564
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Water,Finance & Commercial Group - Information and Workplace Strategies,THAMES WATER UTILITIES LTD,1013089,2007.82
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE ROYAL SOCIETY,1013179,10500000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Capital Grants - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,SCOTTISH HIGHER EDUCATION FUNDING COUNCIL,1013180,5740128
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,"ROYAL ACADEMY OF ENGINEERING, RAE",1013181,1007295
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,THE BRITISH ACADEMY,1013182,1235000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,ICT Maintenance & Upkeep,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013192,8227
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Accommodation Rentals,Finance & Commercial Group - Information and Workplace Strategies,LAND SECURITIES PROPERTIES LTD,1013206,1557500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Professional Training,Strategic Policy Analysis - Strategic Policy Analysis,UNIVERSITY OF SOUTHAMPTON,1013213,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,External Training,Strategic Policy Analysis - Strategic Policy Analysis,UNIVERSITY OF SOUTHAMPTON,1013214,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,External Training,Strategic Policy Analysis - Strategic Policy Analysis,UNIVERSITY OF SOUTHAMPTON,1013215,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Professional Training,Strategic Policy Analysis - Strategic Policy Analysis,UNIVERSITY OF SOUTHAMPTON,1013216,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Professional Training,Strategic Policy Analysis - Strategic Policy Analysis,UNIVERSITY OF SOUTHAMPTON,1013217,600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,YORKSHIRE FORWARD,1013219,19679
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,YORKSHIRE FORWARD,1013219,16371
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1013220,12792.58
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1013221,1919
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,SOUTH EAST ENGLAND DEVELOPMENT AGENCY,1013221,6797
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1013222,1094.87
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,BROOK STREET (UK) LTD,1013223,1064.08
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Payments to Redfern for Rail Travel Contract,Finance & Commercial Group - Finance Group,REDFERN TRAVEL LTD,1013224,118935.79
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Fair Markets Group Summary - Consumer and Competition Policy,North Lanarkshire Council,1013225,38315.68
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,HAYS ACCOUNTANCY PERSONNEL,1013228,3929.83
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Outsourced Programme Management Services,Fair Markets Group Summary - Employment Relations,HAYS ACCOUNTANCY PERSONNEL,1013228,8474.78
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1013234,12442.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Business Group - Advanced Manufacturing Industries,EAST MIDLANDS DEVELOPMENT AGENCY,1013234,12583.8
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,DR DAVID LAWRENCE,1013243,6102.7
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Communications & Marketing Training,"Legal, People & Communications Group - Communications Directorate",THE WHITEHALL AND INDUSTRY GROUP,1013244,850
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Professional/Management),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,ADECCO UK LTD,1013252,858.01
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Corporate Management Consultancy,Finance & Commercial Group - Finance Group,HAYS ACCOUNTANCY PERSONNEL,1013257,3780
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,ANDREW DORWARD,1013260,885.29
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BROOK STREET (UK) LTD,1013261,523.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Corporate Event Management and Marketing,GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,DSTL,1013262,22504.14
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1013264,12167.96
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Standard Desktop Plus Services,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1013266,27523.93
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1013267,33282.46
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,ICT Business Specific Application Services,Finance & Commercial Group - Information and Workplace Strategies,LOGICA UK LTD,1013268,46878.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Printing,Business Group - Economic Development Directorate,THE STATIONERY OFFICE LTD,1013277,2107.95
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Interest on Post Office Working Captial Loans,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1013285,-3421.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Additions Post Office Ltd - Loans from Vote,Shareholder Executive - Shareholder Executive,POST OFFICE LTD C/O ROYAL MAIL,1013285,205000000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"Legal, People & Communications Group - Communications Directorate",ADECCO UK LTD,1013286,-650.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Finance Training,Finance & Commercial Group - Finance Group,SHEFFIELD HALLAM UNIVERSITY,1013290,740
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Outsourced Technical Support (Programme),"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",BETA TECHNOLOGY LTD,1013291,25262.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Mail and Messenger Contract Costs,Finance & Commercial Group - Information and Workplace Strategies,MANPOWER UK LTD,1013306,552.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Mail and Messenger Contract Costs,Finance & Commercial Group - Information and Workplace Strategies,MANPOWER UK LTD,1013307,519.94
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Library Services,"Legal, People & Communications Group - Legal",THE TREASURY SOLICITORS DEPARTMENT,1013308,30542.4
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Mail and Messenger Contract Costs,Finance & Commercial Group - Information and Workplace Strategies,MANPOWER UK LTD,1013309,774.13
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1013310,570
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1013321,525
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hire of Agency Staff (Professional/Management),"Legal, People & Communications Group - Communications Directorate",JAMIE O COMMS LTD,1013332,1528
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1013333,1417.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Car Hire and Leasing,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,GOVERNMENT CAR AND DESPATCH AGENCY,1013334,1155
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Non Statutory - Current - Other,Universities and Skills Group - Further Education,LEARNING AND SKILLS IMPROVEMENT SERVICE,1013336,500000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Publications,"Legal, People & Communications Group - Legal",LEXISNEXIS BUTTERWORTHS,1013339,1464.05
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Grants - Statutory - Current - Other,SCIENCE & RESEARCH GROUP - RESEARCH BASE,LEEDS TEACHING HOSPITAL NHS TRUST,1013340,77500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,TRIBAL CONSULTING LTD,1013341,6581.74
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/12/2010,Hotels Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,"Personal Expense, Name Witheld",10274563,521.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Research & Development Expenditure (Programme),GOVERNMENT OFFICE FOR SCIENCE - GOVERNMENT OFFICE FOR SCIENCE,ETC INTERNATIONAL GROUP T/A ETC URBAN AGRICULTURE,1012874,1061.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Insolvency Service Policy Work,Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1013183,43800
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Insolvency Service Policy Work,Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1013183,88200
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1013185,800000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Non-GIA Funding of Bodies (Departmental and Non-Departmental),Fair Markets Group Summary - Insolvency Service,THE INSOLVENCY SERVICE,1013185,1800000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,PARITY RESOURCES LTD,1013191,13500.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Economic Consultancy & Research,Office of Manpower Economics - Office of Manpower Economics,UNIVERSITY OF BRISTOL,1013199,4896.17
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,HAYS SPECIALIST RECRUITMENT LTD,1013259,571.52
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Computer Equipment - Clearing,Finance & Commercial Group - Information and Workplace Strategies,METHODS CONSULTING LTD,1013263,20680
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Car Hire and Leasing (Programme),Fair Markets Group Summary - ECO,ARVAL (UK) LTD,1013301,614.54
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Recruitment Consultancy Costs,"Legal, People & Communications Group - Legal",TMP (UK) LTD T/A TMP WORLDWIDE,1013314,3260
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Recruitment Consultancy Costs,"Legal, People & Communications Group - Legal",TMP (UK) LTD T/A TMP WORLDWIDE,1013316,3260
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/12/2010,Other IT Costs,"Innovation, Enterprise & Better Regulation Executive - Better Regulation Executive (BRE)",GWS LTD,1013323,5270
