Minister,Date gift received,From  ,Gift,Value ,Outcome  
"Minister for International Security Strategy, Gerald Howarth MP",22-Feb-11,Qatari Chief of Staff,His and Her watches,Over the limit,In office
"Under-Secretary of State and the Lords spokesman on Defence, Lord Astor of Hever DL",02-Jan-11,Commander (MSO) Sultanate of Oman ,Ceremonial Knife ,Over limit ,In office 
