Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,Transaction number,Amount in Sterling,Grant?,
Communities & Local Government,DCLG,01/05/2011,Current Grants to Non Profit Bodies,Neighbourhoods,UNITED NATIONS,,2100201993,"6,202.90",Yes,
Communities & Local Government,DCLG,01/05/2011,Current Grants to Non Profit Bodies,Neighbourhoods,UNITED NATIONS,,2100203418,"-6,202.90",Yes,
Communities & Local Government,DCLG,03/05/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,2100203257,"6,471,607.00",Yes,
Communities & Local Government,DCLG,03/05/2011,Research,Neighbourhoods,BUILDING RESEARCH ESTABLISHMENT,,5106162293,"9,568.98",,
Communities & Local Government,DCLG,03/05/2011,Research,Neighbourhoods,UK  ACCREDIATION SERVICE,,5106162310,"10,400.70",,
Communities & Local Government,DCLG,03/05/2011,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,5106162055,675.00,,
Communities & Local Government,DCLG,03/05/2011,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,5106162057,"1,185.00",,
Communities & Local Government,DCLG,03/05/2011,Web Services,Treasury,WTG TECHNOLOGIES LTD,,5106162301,"9,400.00",,
Communities & Local Government,DCLG,04/05/2011,Agency Staff,Finance & Corporate Services,SQUARE ONE RESOURCES LTD,,5106162326,"2,287.06",,
Communities & Local Government,DCLG,04/05/2011,Current Grants to Non Profit Bodies,Localism,INFORM,Yes,2100203328,"45,000.00",Yes,
Communities & Local Government,DCLG,04/05/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,2100203324,"15,727,000.00",Yes,
Communities & Local Government,DCLG,04/05/2011,IT Maintenance,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,2100203358,"-11,332.03",,
Communities & Local Government,DCLG,04/05/2011,IT Maintenance,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,5106162263,"11,332.03",,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,,5000161404,"2,334,699.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,,5000161405,"817,880.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,,5000161411,"3,847,942.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,,5000161414,"3,975,684.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,,5000161427,"1,061,934.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,,5000161426,"394,762.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,,5000161432,"25,079,982.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,,5000161436,"2,995,302.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,,5000161438,"3,135,552.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,,5000161442,"4,645,991.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,,5000161449,"9,937,172.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,,5000161456,"6,019,971.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,,5000161474,"2,411,285.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,,5000161473,"379,904.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,,5000161477,"2,460,534.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,,5000161480,"2,988,848.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,,5000161485,"4,359,263.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,,5000161484,"1,077,895.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,,5000161483,"474,285.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,,5000161504,"677,391.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,,5000161505,"1,931,487.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,,5000161520,"734,956.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,,5000161521,"1,678,661.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE AND RES,,5000161567,"477,101.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CORNWALL COUNCIL,,5000162128,"7,875,380.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,,5000161530,"5,743,248.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,,5000161538,"5,752,173.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,,5000161539,"1,310,831.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,,5000161542,"1,497,512.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,,5000161548,"4,104,260.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,,5000161552,"7,464,910.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,,5000161550,"654,057.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,,5000161551,"1,663,308.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,,5000161555,"2,622,644.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,,5000161557,"1,120,990.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,,5000161556,"6,744,806.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,,5000161558,"5,259,053.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,,5000161560,"2,373,292.00",Yes,
Communities & Local Government,DCLG,04/05/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,,5000161561,"394,893.00",Yes,
